,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,COMDIS,,Handelsunstimmigkeit,X,
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,17A,,Ausgabe 2017 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,1.0b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,456,,Belastungsanzeige,,
9,Beginn der Nachricht,,BGM,1001,739,,"MSCONS, die eineINVOIC unterstützt",X,
10,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
11,Prüfidentifikator,,,,,,,Muss,
12,Prüfidentifikator,,RFF,1153,Z13,,Prüfidentifikator,X,
13,Prüfidentifikator,,RFF,1154,29001,,Ablehnung REMADV,,
14,Prüfidentifikator,,RFF,1154,29002,,Ablehnung IFTSTA,X,
15,Dokumentendatum,,,,,,,Muss,
16,Dokumentendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
17,Dokumentendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
18,Dokumentendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
19,Währungsangaben,,,,,,,,
20,Währungsangaben,,CUX,6347,2,,Referenzwährung,,
21,Währungsangaben,,CUX,6345,EUR,,Euro,,
22,Währungsangaben,,CUX,6343,4,,Währung der Rechnung,,
23,MP-ID Absender,SG1,,,,,,Muss,
24,MP-ID Absender,SG1,,,,,,Muss,
25,MP-ID Absender,SG1,NAD,,,,,Muss,
26,MP-ID Absender,SG1,NAD,3035,,,"Beteiligter, Qualifier",,
27,MP-ID Absender,SG1,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
28,MP-ID Absender,SG1,NAD,3039,,,MP-ID,X [3],[3] Nur MP-ID aus Sparte Strom
29,MP-ID Absender,SG1,NAD,3055,9,,GS1,X,
30,MP-ID Absender,SG1,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
31,Ansprechpartner,SG1,,,,,,,
32,Ansprechpartner,SG1,,,,,,Muss,
33,Ansprechpartner,SG1,CTA,,,,,Muss,
34,Ansprechpartner,SG1,CTA,3139,,,"Funktion des Ansprechpartners,Code",,
35,Ansprechpartner,SG1,CTA,3139,IC,,Informationsstelle,X,
36,Ansprechpartner,SG1,CTA,3412,,,Abteilung oder Bearbeiter,X,
37,Kommunikationsverbindung,SG1,,,,,,,
38,Kommunikationsverbindung,SG1,,,,,,Muss,
39,Kommunikationsverbindung,SG1,COM,,,,,Muss,
40,Kommunikationsverbindung,SG1,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
41,Kommunikationsverbindung,SG1,COM,3155,EM,,E-Mail,X [1P0..1],
42,Kommunikationsverbindung,SG1,COM,3155,FX,,Telefax,X [1P0..1],
43,Kommunikationsverbindung,SG1,COM,3155,TE,,Telefon,X [1P0..1],
44,Kommunikationsverbindung,SG1,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
45,Kommunikationsverbindung,SG1,COM,3155,AL,,Handy,X [1P0..1],
46,MP-ID Empfänger,SG1,,,,,,Muss,
47,MP-ID Empfänger,SG1,,,,,,Muss,
48,MP-ID Empfänger,SG1,NAD,,,,,Muss,
49,MP-ID Empfänger,SG1,NAD,3035,,,"Beteiligter, Qualifier",,
50,MP-ID Empfänger,SG1,NAD,3035,MR,,Nachrichtenempfänger,X,
51,MP-ID Empfänger,SG1,NAD,3039,,,MP-ID,X [3],[3] Nur MP-ID aus Sparte Strom
52,MP-ID Empfänger,SG1,NAD,3055,9,,GS1,X,
53,MP-ID Empfänger,SG1,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
54,Dokument-/Nachricht- Einzelheiten,SG2,,,,,,Muss,
55,Dokument-/Nachricht- Einzelheiten,SG2,,,,,,Muss,
56,Dokument-/Nachricht- Einzelheiten,SG2,DOC,,,,,Muss,
57,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,380,,Handelsrechnung,,
58,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,270,,Lieferschein,X [507],
59,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,Z41,,Lieferschein Grund- /Arbeitspreis,X,
60,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,Z42,,Lieferschein Arbeits- /Leistungspreis,X,"[507] Hinweis: Der Code 270 ist nur zu nutzen, wenn ein Lieferschein, der vor dem 1. 4.2021 erstellt wurde, storniert wird."
61,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1004,,,Dokumentennummer,X [506],"[505] Hinweis: BGM DE1004 aus der vorher per REMADV abgelehnten INVOIC-Nachricht 
[506] Hinweis: BGM DE1004 aus der vorher per IFTSTA abgelehnten MSCONS- Nachricht"
62,angeforderter Betrag,SG2,,,,,,,
63,angeforderter Betrag,SG2,,,,,,,
64,angeforderter Betrag,SG2,MOA,,,,,,
65,angeforderter Betrag,SG2,MOA,5025,9,,Fälliger Betrag (inkl. USt.),,
66,angeforderter Betrag,SG2,MOA,5004,,,Geldbetrag,,[930] Format: max. 2 Nachkommastellen
67,Begründung der Korrektheit,SG3,,,,,,Muss,
68,Begründung der Korrektheit,SG3,,,,,,Muss,
69,Begründung der Korrektheit,SG3,AJT,,,,,Muss,
70,Begründung der Korrektheit,SG3,AJT,4465,,,"Anpassungsgrund, Code",X,
71,Begründung der Korrektheit,SG3,AJT,1082,Codeliste Strom Nr.S_0108Codeliste Strom Nr.S_0109,,PositionsnummerS_0108S_0109,X [492],
72,Begründung der Korrektheit,SG3,AJT,1082,E_0504,,EBD Nr. E_0504,,[492] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) aus Sparte Strom
73,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,,,,,,,
74,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,,,,,,,
75,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,,,,,,"[4] wenn SG3 AJT+Z58/Z59/ Z60/Z61/Z62+S_0109 vorhanden 
[5] wenn SG3 AJT+A01/A02/ A03/A04/A06/A07/A09/A12/ A15+E_0504 vorhanden"
76,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4451,ACD,,Begründung,,
77,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,,,Nachrichtentyp,,
78,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z07,,MSCONS,,
79,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z08,,UTILMD,,
80,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z09,,INVOIC,,
81,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z10,,ORDERS,,
82,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z11,,PRICAT,,
83,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z12,,IFTSTA,,
84,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4441,Z13,,ORDCHG,,"[1] wenn SG3 AJT+Z61+S_0109 oder SG3 AJT+Z62+S_0109 vorhanden. 
[2] wenn SG3 AJT+Z58+S_0109 oder SG3 AJT+Z59+S_0109 oder SG3 AJT+Z60+S_0109 vorhanden. 
[6] wenn SG3 AJT+A07+E_0504 vorhanden 
[7] wenn SG3 AJT+A02+E_0504 vorhanden 
[8] wenn SG3 AJT+A01/A04/ A06/A09/A12+E_0504 vorhanden 
[10] wenn SG3 AJT+A03+E_0504 vorhanden 
[11] wenn SG3 AJT+A15+E_0504 vorhanden"
85,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4440,,,Datenaustauschreferenz derreferenzierten Datei,,
86,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4440,,,Nachrichten-/Vorgangsnummer,,
87,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4440,,,Datenaustauschreferenz derEmpfangsbestätigung,,
88,Begründung Richtigkeit mit Angabe von Freitext,SG3,,,,,,,
89,Begründung Richtigkeit mit Angabe von Freitext,SG3,,,,,,Muss,
90,Begründung Richtigkeit mit Angabe von Freitext,SG3,FTX,,,,,Muss,"[9] wenn SG3 AJT+A05/A10/ A11/A14+E_0504 vorhanden 
[12] wenn SG3 AJT+A99+S_0109 vorhanden"
91,Begründung Richtigkeit mit Angabe von Freitext,SG3,FTX,4451,ACB,,ZusätzlicheInformationen (fürallgemeine Hinweise),X,
92,Begründung Richtigkeit mit Angabe von Freitext,SG3,FTX,4440,,,Freier Text,X,
93,Nachrichten-Endesegment,,,,,,,Muss,
94,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
95,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
