,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichtenanfang,,,,,,,Muss,
1,Nachrichtenanfang,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichtenanfang,,UNH,0065,INVOIC,,Rechnung,X,
3,Nachrichtenanfang,,UNH,0052,D,,Entwurfs-Version,X,
4,Nachrichtenanfang,,UNH,0054,06A,,Ausgabe 2006 - A,X,
5,Nachrichtenanfang,,UNH,0051,UN,,UN/CEFACT,X,
6,Nachrichtenanfang,,UNH,0057,2.8,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Rechnungsnummer,,,,,,,Muss,
8,Rechnungsnummer,,BGM,1001,380,,Handelsrechnung,X,
9,Rechnungsnummer,,BGM,1004,,,Dokumentennummer,X,
10,Rechnungsnummer,,BGM,1225,,,,79,
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
15,Bearbeitungs-/ Verarbeitungsdatum,,,,,,,Muss,
16,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2005,9,,Bearbeitungs-/Verarbeitungsdatum/-zeit,X,
17,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
18,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
19,Abrechnungszeitraum Beginn,,,,,,,Muss [53],
20,Abrechnungszeitraum Beginn,,DTM,2005,155,,"Rechnungsperiode,Beginndatum",X,
21,Abrechnungszeitraum Beginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB3],
22,Abrechnungszeitraum Beginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
23,Abrechnungszeitraum Ende,,,,,,,Muss [53],
24,Abrechnungszeitraum Ende,,DTM,2005,156,,"Rechnungsperiode,Endedatum",X,
25,Abrechnungszeitraum Ende,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB3],
26,Abrechnungszeitraum Ende,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
27,Ausführungsdatum,,,,,,,Muss [47],
28,Ausführungsdatum,,DTM,2005,203,,Ausführungsdatum/-zeit,X,
29,Ausführungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [518],[518] Hinweis:  Im Fall der Stornierung des Auftrags der Unterbrechung: Der Tag an dem der NB die Stornierung empfangen hat Bei erfolgreicher Sperrung: Tag der durchgeführten Sperrung Bei erfolgloser Sperrung: Letzter Sperrversuchstag
30,Ausführungsdatum,,DTM,2379,102,,CCYYMMDD,X,
31,Rechnungstyp,,,,,,,Muss,
32,Rechnungstyp,,IMD,7081,Z43,,Rechnung für Sperren undWiederinbetriebnahme,X,
33,Rechnungstyp,,IMD,7081,Z44,,Verzugskostenrechnung,X,
34,Rechnungstyp,,IMD,7081,Z45,,Blindarbeitrechnung,X,
35,Meldeinformationen,,,,,,,Soll [4] ,
36,Meldeinformationen,,FTX,4451,,,,REG,
37,Meldeinformationen,,FTX,4441,RCH,,Reverse Charge gemäß§13b UStG /Steuerschuldnerschaft desLeistungsempfängers,X,
38,Prüfidentifikator,SG1,,,,,,Muss,
39,Prüfidentifikator,SG1,,,,,,Muss,
40,Prüfidentifikator,SG1,RFF,,,,,Muss,
41,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,
42,Prüfidentifikator,SG1,RFF,1154,31011,,Rechnung sonstige Leistung,X,
43,Referenz auf Ursprungsrechnungsnumm er,SG1,,,,,,Muss [48],
44,Referenz auf Ursprungsrechnungsnumm er,SG1,,,,,,Muss [48],[48] Wenn IMD++Z44 vorhanden
45,Referenz auf Ursprungsrechnungsnumm er,SG1,RFF,,Muss,,,,
46,Referenz auf Ursprungsrechnungsnumm er,SG1,RFF,1153,OI,,Ursprungsrechnungsnummer,X [515],[515] Hinweis: BGM DE1004 aus Original-INVOIC-Nachricht
47,Referenz auf Ursprungsrechnungsnumm er,SG1,RFF,1154,,,"Referenz, Identifikation",X,
48,Referenzdatum,SG1,,,,,,,
49,Referenzdatum,SG1,,,,,,Muss,
50,Referenzdatum,SG1,DTM,,,,,Muss,
51,Referenzdatum,SG1,DTM,2005,171,,Referenzdatum/-zeit,X,
52,Referenzdatum,SG1,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
53,Referenzdatum,SG1,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
54,Referenz auf Nummer des zugehörigen Dokuments,SG1,,,,,,Muss [47],
55,Referenz auf Nummer des zugehörigen Dokuments,SG1,,,,,,Muss [47],[47] Wenn IMD++Z43 vorhanden
56,Referenz auf Nummer des zugehörigen Dokuments,SG1,RFF,,,,,Muss,
57,Referenz auf Nummer des zugehörigen Dokuments,SG1,RFF,1153,ACE,,Nummer des zugehörigenDokuments,X,
58,Referenz auf Nummer des zugehörigen Dokuments,SG1,RFF,1154,,,"Referenz, Identifikation",X [501],[501] Hinweis: Dokumentennummer der ORDERS
59,Name und Anschrift des Nachrichtensenders,SG2,,,,,,Muss,
60,Name und Anschrift des Nachrichtensenders,SG2,,,,,,Muss,
61,Name und Anschrift des Nachrichtensenders,SG2,NAD,,,,,Muss,
62,Name und Anschrift des Nachrichtensenders,SG2,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,
63,Name und Anschrift des Nachrichtensenders,SG2,NAD,3039,,,MP-ID,X [45],[45] Nur MP-ID aus Sparte Strom
64,Name und Anschrift des Nachrichtensenders,SG2,NAD,3055,9,,GS1,X,
65,Name und Anschrift des Nachrichtensenders,SG2,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
66,Name und Anschrift des Nachrichtensenders,SG2,NAD,3036,,,Beteiligter,X,
67,Name und Anschrift des Nachrichtensenders,SG2,NAD,3045,Z01,,Struktur vonPersonennamen,X,
68,Name und Anschrift des Nachrichtensenders,SG2,NAD,3045,Z02,,Struktur derFirmenbezeichnung,X,
69,Name und Anschrift des Nachrichtensenders,SG2,NAD,3042,,,Straße und Hausnummer oderPostfach,S [7],[7] Sofern keine Großkundenpostleitzahl verwendet wird
70,Name und Anschrift des Nachrichtensenders,SG2,NAD,3164,,,Ort,M,
71,Name und Anschrift des Nachrichtensenders,SG2,NAD,3251,,,"Postleitzahl, Code",X,
72,Name und Anschrift des Nachrichtensenders,SG2,NAD,3207,,,"Ländername, Code",X,
73,"Steuernummer, Umsatzsteuer-ID",SG3,,,,,,Muss,
74,"Steuernummer, Umsatzsteuer-ID",SG3,,,,,,Muss,
75,"Steuernummer, Umsatzsteuer-ID",SG3,RFF,,,,,Muss,
76,"Steuernummer, Umsatzsteuer-ID",SG3,RFF,1153,VA,,Umsatzsteueridentifikationsnummer,X,
77,"Steuernummer, Umsatzsteuer-ID",SG3,RFF,1153,FC,,Steuernummer,X [6],[6] Wenn SG2 NAD+MR DE3207 = „DE“
78,"Steuernummer, Umsatzsteuer-ID",SG3,RFF,1154,,,"Referenz, Identifikation",X,
79,Ansprechpartner,SG5,,,,,,Kann,
80,Ansprechpartner,SG5,,,,,,Kann,
81,Ansprechpartner,SG5,CTA,,,,,Muss,
82,Ansprechpartner,SG5,CTA,3139,,,,IC,
83,Ansprechpartner,SG5,CTA,3412,,,Kontakt,X,
84,Kommunikationsverbindung,SG5,,,,,,,
85,Kommunikationsverbindung,SG5,,,,,,Muss,
86,Kommunikationsverbindung,SG5,COM,,,,,Muss,
87,Kommunikationsverbindung,SG5,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
88,Kommunikationsverbindung,SG5,COM,3155,EM,,Elektronische Post,X [1P0..1],
89,Kommunikationsverbindung,SG5,COM,3155,FX,,Telefax,X [1P0..1],
90,Kommunikationsverbindung,SG5,COM,3155,TE,,Telefon,X [1P0..1],
91,Kommunikationsverbindung,SG5,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
92,Kommunikationsverbindung,SG5,COM,3155,AL,,Handy,X [1P0..1],
93,Name und Anschrift des Nachrichtenempfängers,SG2,,,,,,Muss,
