,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,UNH,,00001,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,00001,,,Nachrichten- Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,00001,INSRPT,,Prüfbericht,X,
3,Nachrichten-Kopfsegment,,UNH,0052,00001,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,00001,10A,,Ausgabe 2010 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,00001,1.1a,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschrei bung,X,
7,Beginn der Nachricht,,BGM,,00002,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,00002,4,,Prüfbericht,X,
9,Beginn der Nachricht,,BGM,1004,00002,,,Dokumentennummer,X,
10,Dokumentendatum,,DTM,,00003,,,,Muss,
11,Dokumentendatum,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/- zeit,X,
12,Dokumentendatum,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00"
13,Dokumentendatum,,DTM,2379,00003,303,,CCYYMMDDHHMMZ ZZ,X,
14,MP-ID Empfänger,SG2,,,,,,,Muss,
15,MP-ID Empfänger,SG2,NAD,,00004,,,,Muss,
16,MP-ID Empfänger,SG2,NAD,3035,00004,MR,,Nachrichtenempfän ger,X,
17,MP-ID Empfänger,SG2,NAD,3039,00004,,,MP-ID,X,
18,MP-ID Empfänger,SG2,NAD,3055,00004,9,,GS1,X,
19,MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
20,MP-ID Empfänger,SG2,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
21,MP-ID Absender,SG2,,,,,,,Muss,
22,MP-ID Absender,SG2,NAD,,00005,,,,Muss,
23,MP-ID Absender,SG2,NAD,3035,00005,MS,,Dokumenten-/ Nachrichtenausstell er bzw. -absender,X,
24,MP-ID Absender,SG2,NAD,3039,00005,,,MP-ID,X,
25,MP-ID Absender,SG2,NAD,3055,00005,9,,GS1,X,
26,MP-ID Absender,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
27,MP-ID Absender,SG2,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
28,Dokument-/Nachricht- Einzelheiten,SG3,,,,,,,Muss,
29,Dokument-/Nachricht- Einzelheiten,SG3,DOC,,00006,,,,Muss,
30,Dokument-/Nachricht- Einzelheiten,SG3,DOC,1001,00006,21,,Anfrage,X,
31,Dokument-/Nachricht- Einzelheiten,SG3,DOC,1004,00006,,,Vorgangsnummer,X,
32,Prüfidentifikator,SG4,,,,,,,Muss,
33,Prüfidentifikator,SG4,RFF,,00007,,,,Muss,
34,Prüfidentifikator,SG4,RFF,1153,00007,Z13,,Prüfidentifikator,X,
35,Prüfidentifikator,SG4,RFF,1154,00007,23001,,WiM / Störungsmeldung vom LF/NB/MSB an MSB,X,
36,Ansprechpartner beim Nachrichtenabsender,SG5,,,,,,,Muss,
37,Ansprechpartner beim Nachrichtenabsender,SG5,NAD,,00009,,,,Muss,
38,Ansprechpartner beim Nachrichtenabsender,SG5,NAD,3035,00009,MS,,Dokumenten-/ Nachrichtenausstell er bzw. -absender,X,
39,Ansprechpartner beim Nachrichtenabsender,SG5,NAD,3039,00009,,,MP-ID,X,
40,Ansprechpartner beim Nachrichtenabsender,SG5,NAD,3055,00009,9,,GS1,X,
41,Ansprechpartner beim Nachrichtenabsender,SG5,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
42,Ansprechpartner beim Nachrichtenabsender,SG5,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
43,Ansprechpartner,SG6,,,,,,,Muss,
44,Ansprechpartner,SG6,CTA,,00010,,,,Muss,
45,Ansprechpartner,SG6,CTA,3139,00010,IC,,Informationskontakt,X,
46,Ansprechpartner,SG6,CTA,3412,00010,,,Kontakt,X,
47,Kommunikationsverbindu ng,SG6,COM,,00011,,,,Muss,
48,Kommunikationsverbindu ng,SG6,COM,3148,00011,,,"Kommunikationsadresse, Identifikation",X,
49,Kommunikationsverbindu ng,SG6,COM,3155,00011,EM,,E-Mail,X [1P0..1],
50,Kommunikationsverbindu ng,SG6,COM,3155,,FX,,Telefax,X [1P0..1],
51,Kommunikationsverbindu ng,SG6,COM,3155,,TE,,Telefon,X [1P0..1],
52,Kommunikationsverbindu ng,SG6,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
