,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichtenanfang,,,,,,,Muss,
1,Nachrichtenanfang,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichtenanfang,,UNH,0065,INVOIC,,Rechnung,X,Rechnung
3,Nachrichtenanfang,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichtenanfang,,UNH,0054,06A,,Ausgabe 2006 - A,X,Ausgabe 2006 - A
5,Nachrichtenanfang,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichtenanfang,,UNH,0057,2.8a,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Rechnungsnummer,,,,,,,Muss,
8,Rechnungsnummer,,BGM,1001,380,,Handelsrechnung,X,Handelsrechnung
9,Rechnungsnummer,,BGM,1004,,,Dokumentennummer,X [517],
10,Rechnungsnummer,,BGM,1225,,,,79,
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
15,Bearbeitungs-/ Verarbeitungsdatum,,,,,,,Muss,
16,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2005,9,,Bearbeitungs-/Verarbeitungsdatum/-zeit,X,Bearbeitungs-/Verarbeitungsdatum/-zeit
17,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
18,Bearbeitungs-/ Verarbeitungsdatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
19,Abrechnungszeitraum Beginn,,,,,,,Muss,
20,Abrechnungszeitraum Beginn,,DTM,2005,155,,"Rechnungsperiode,Beginndatum",X,"Rechnungsperiode,Beginndatum"
21,Abrechnungszeitraum Beginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB2],
22,Abrechnungszeitraum Beginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
23,Abrechnungszeitraum Ende,,,,,,,Muss,
24,Abrechnungszeitraum Ende,,DTM,2005,156,,"Rechnungsperiode,Endedatum",X,"Rechnungsperiode,Endedatum"
25,Abrechnungszeitraum Ende,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB2],
26,Abrechnungszeitraum Ende,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
27,Rechnungstyp,,,,,,,Muss,
28,Rechnungstyp,,IMD,7081,NAP,,Kapazitätsrechnung,X,Kapazitätsrechnung
29,Meldeinformationen,,,,,,,Soll [4] ,
30,Meldeinformationen,,FTX,4451,,,,REG,
31,Meldeinformationen,,FTX,4441,RCH,,Reverse Charge gemäß§13b UStG /Steuerschuldnerschaft desLeistungsempfängers,X,Reverse Charge gemäß§13b UStG /Steuerschuldnerschaft desLeistungsempfängers
32,Prüfidentifikator,SG1,,,,,,Muss,
33,Prüfidentifikator,SG1,,,,,,Muss,
34,Prüfidentifikator,SG1,RFF,,,,,Muss,
35,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
36,Prüfidentifikator,SG1,RFF,1154,31010,,Kapazitätsrechnung,X,Kapazitätsrechnung
37,Name und Anschrift des Nachrichtensenders,SG2,,,,,,Muss,
38,Name und Anschrift des Nachrichtensenders,SG2,,,,,,Muss,
39,Name und Anschrift des Nachrichtensenders,SG2,NAD,,,,,Muss,
40,Name und Anschrift des Nachrichtensenders,SG2,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,Nachrichtenaussteller bzw.-absender
41,Name und Anschrift des Nachrichtensenders,SG2,NAD,3039,,,MP-ID,X [493],
42,Name und Anschrift des Nachrichtensenders,SG2,NAD,3055,9,,GS1,X,GS1
43,Name und Anschrift des Nachrichtensenders,SG2,NAD,3036,,,Beteiligter,X,
44,Name und Anschrift des Nachrichtensenders,SG2,NAD,3042,,,Straße und Hausnummer oderPostfach,S [7],
45,Name und Anschrift des Nachrichtensenders,SG2,NAD,3164,,,Ort,M,
46,Name und Anschrift des Nachrichtensenders,SG2,NAD,3251,,,"Postleitzahl, Code",X,
47,Name und Anschrift des Nachrichtensenders,SG2,NAD,3207,,,"Ländername, Code",X,
48,"Steuernummer, Umsatzsteuernummer",SG3,,,,,,Muss,
49,"Steuernummer, Umsatzsteuernummer",SG3,,,,,,Muss,
50,"Steuernummer, Umsatzsteuernummer",SG3,RFF,,,,,Muss,
51,"Steuernummer, Umsatzsteuernummer",SG3,RFF,1153,VA,,Umsatzsteuernummer,X,Umsatzsteuernummer
52,"Steuernummer, Umsatzsteuernummer",SG3,RFF,1154,,,"Referenz, Identifikation",X,
53,Ansprechpartner,SG5,,,,,,Kann,
54,Ansprechpartner,SG5,,,,,,Kann,
55,Ansprechpartner,SG5,CTA,,,,,Muss,
56,Ansprechpartner,SG5,CTA,3139,,,,IC,
57,Ansprechpartner,SG5,CTA,3412,,,Kontakt,X,
58,Kommunikationsverbindung,SG5,,,,,,,
59,Kommunikationsverbindung,SG5,,,,,,Muss,
60,Kommunikationsverbindung,SG5,COM,,,,,Muss,
61,Kommunikationsverbindung,SG5,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
62,Kommunikationsverbindung,SG5,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
63,Name und Anschrift des Nachrichtenempfängers,SG2,,,,,,Muss,
64,Name und Anschrift des Nachrichtenempfängers,SG2,,,,,,Muss,
65,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,,,,,Muss,
66,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3035,,,,MR,
67,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3039,,,MP-ID,X [493],
68,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3055,9,,GS1,X,GS1
69,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3036,,,Beteiligter,X,
70,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3042,,,Straße und Hausnummer oderPostfach,S [7],
71,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3164,,,Ort,M,
72,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3251,,,"Postleitzahl, Code",X,
73,Name und Anschrift des Nachrichtenempfängers,SG2,NAD,3207,,,"Ländername, Code",X,
74,"Steuernummer, Umsatzsteuernummer",SG3,,,,,,Muss [5]Soll [4],
75,"Steuernummer, Umsatzsteuernummer",SG3,,,,,,Muss [5]Soll [4],
76,"Steuernummer, Umsatzsteuernummer",SG3,RFF,,,,,Muss,
77,"Steuernummer, Umsatzsteuernummer",SG3,RFF,1153,VA,,Umsatzsteuernummer,X,Umsatzsteuernummer
78,"Steuernummer, Umsatzsteuernummer",SG3,RFF,1154,,,"Referenz, Identifikation",X,
79,Währungsangaben,SG7,,,,,,Muss,
80,Währungsangaben,SG7,,,,,,Muss,
81,Währungsangaben,SG7,CUX,,,,,Muss,
82,Währungsangaben,SG7,CUX,6347,2,,Referenzwährung,X,Referenzwährung
83,Währungsangaben,SG7,CUX,6345,EUR,,Euro,X,Euro
84,Währungsangaben,SG7,CUX,6343,4,,Währung der Rechnung,X,Währung der Rechnung
85,Zahlungsbedingungen,SG8,,,,,,Muss,
86,Zahlungsbedingungen,SG8,,,,,,Muss,
87,Zahlungsbedingungen,SG8,PYT,,,,,Muss,
88,Zahlungsbedingungen,SG8,PYT,4279,,,,3,
89,Fälligkeitsdatum,SG8,,,,,,,
90,Fälligkeitsdatum,SG8,,,,,,Muss,
91,Fälligkeitsdatum,SG8,DTM,,,,,Muss,
92,Fälligkeitsdatum,SG8,DTM,2005,265,,Fälligkeitsdatum,X,Fälligkeitsdatum
93,Fälligkeitsdatum,SG8,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
94,Fälligkeitsdatum,SG8,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
95,Positionsdaten,SG26,,,,,,Muss,
96,Positionsdaten,SG26,,,,,,Muss,
97,Positionsdaten,SG26,LIN,,,,,Muss,
