,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,ORDCHG,,Bestelländerung,X,Bestelländerung
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,20B,,Ausgabe 2020 - B,X,Ausgabe 2020 - B
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.0,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z51,,Sperrung,X,Sperrung
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Beginn der Nachricht,,BGM,1225,1,,Aufhebung/Stornierung,X,Aufhebung/Stornierung
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
15,Nachrichtennummer der Anfrage/Bestellung,SG1,,,,,,Muss,
16,Nachrichtennummer der Anfrage/Bestellung,SG1,,,,,,Muss,
17,Nachrichtennummer der Anfrage/Bestellung,SG1,RFF,,,,,Muss,
18,Nachrichtennummer der Anfrage/Bestellung,SG1,RFF,1153,ON,,Auftragsnummer(Einkauf),X,Auftragsnummer(Einkauf)
19,Nachrichtennummer der Anfrage/Bestellung,SG1,RFF,1154,,,Nachrichtennummer,X [500],
20,Prüfidentifikator,SG1,,,,,,Muss,
21,Prüfidentifikator,SG1,,,,,,Muss,
22,Prüfidentifikator,SG1,RFF,,,,,Muss,
23,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
24,Prüfidentifikator,SG1,RFF,1154,39000,,Stornierung Sperr-/Entsperrauftrag,X,Stornierung Sperr-/Entsperrauftrag
25,MP-ID Absender,SG3,,,,,,Muss,
26,MP-ID Absender,SG3,,,,,,Muss,
27,MP-ID Absender,SG3,NAD,,,,,Muss,
28,MP-ID Absender,SG3,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
29,MP-ID Absender,SG3,NAD,3039,,,MP-ID,X [1],
30,MP-ID Absender,SG3,NAD,3055,9,,GS1,X,GS1
31,Ansprechpartner,SG6,,,,,,Kann,
32,Ansprechpartner,SG6,,,,,,Kann,
33,Ansprechpartner,SG6,CTA,,,,,Muss,
34,Ansprechpartner,SG6,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
35,Ansprechpartner,SG6,CTA,3412,,,Kontakt,X,
36,Kommunikationsverbindung,SG6,,,,,,,
37,Kommunikationsverbindung,SG6,,,,,,Muss,
38,Kommunikationsverbindung,SG6,COM,,,,,Muss,
39,Kommunikationsverbindung,SG6,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
40,Kommunikationsverbindung,SG6,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
41,MP-ID Empfänger,SG3,,,,,,Muss,
42,MP-ID Empfänger,SG3,,,,,,Muss,
43,MP-ID Empfänger,SG3,NAD,,,,,Muss,
44,MP-ID Empfänger,SG3,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
45,MP-ID Empfänger,SG3,NAD,3039,,,MP-ID,X [1],
46,MP-ID Empfänger,SG3,NAD,3055,9,,GS1,X,GS1
47,Abschnitts-Kontrollsegment,,,,,,,Muss,
48,Abschnitts-Kontrollsegment,,UNS,0081,S,,Trennung von Positions-und Summenteil,X,Trennung von Positions-und Summenteil
49,Nachrichten-Endesegment,,,,,,,Muss,
50,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
51,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
