,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,ORDRSP,,Bestellantwort,X,Bestellantwort
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,Ausgabe 2010 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.2b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z24,,Allokationsliste (MMMA),X,Allokationsliste (MMMA)
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Abonnement,,,,,,,Muss,
15,Abonnement,,IMD,7081,Z01,,Start Abo,X,Start Abo
16,Referenz Nachrichtennummer,SG1,,,,,,Muss,
17,Referenz Nachrichtennummer,SG1,,,,,,Muss,
18,Referenz Nachrichtennummer,SG1,RFF,,,,,Muss,
19,Referenz Nachrichtennummer,SG1,RFF,1153,ON,,Auftragsnummer (Einkauf),X,Auftragsnummer (Einkauf)
20,Referenz Nachrichtennummer,SG1,RFF,1154,,,Referenz Nachrichtennummer,X [525],
21,Prüfidentifikator,SG1,,,,,,Muss,
22,Prüfidentifikator,SG1,,,,,,Muss,
23,Prüfidentifikator,SG1,RFF,,,,,Muss,
24,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
25,Prüfidentifikator,SG1,RFF,1154,19110,,Ablehnung Allokationsliste,X,Ablehnung Allokationsliste
26,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,Muss,
27,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,Muss,
28,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,,,,,Muss,
29,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,4465,,,Code des Prüfschritts,X,
30,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,1082,,,,G_0001,
31,MP-ID Absender,SG3,,,,,,Muss,
32,MP-ID Absender,SG3,,,,,,Muss,
33,MP-ID Absender,SG3,NAD,,,,,Muss,
34,MP-ID Absender,SG3,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,Nachrichtenaussteller bzw.-absender
35,MP-ID Absender,SG3,NAD,3039,,,MP-ID,X [29],
36,MP-ID Absender,SG3,NAD,3055,9,,GS1,X,GS1
37,Ansprechpartner,SG6,,,,,,Kann,
38,Ansprechpartner,SG6,,,,,,Kann,
39,Ansprechpartner,SG6,CTA,,,,,Muss,
40,Ansprechpartner,SG6,CTA,3139,,,,IC,
41,Ansprechpartner,SG6,CTA,3412,,,Kontakt,X,
42,Kommunikationsverbindung,SG6,,,,,,,
43,Kommunikationsverbindung,SG6,,,,,,Muss,
44,Kommunikationsverbindung,SG6,COM,,,,,Muss,
45,Kommunikationsverbindung,SG6,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
46,Kommunikationsverbindung,SG6,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
47,MP-ID Empfänger,SG3,,,,,,Muss,
48,MP-ID Empfänger,SG3,,,,,,Muss,
49,MP-ID Empfänger,SG3,NAD,,,,,Muss,
50,MP-ID Empfänger,SG3,NAD,3035,,,,MR,
51,MP-ID Empfänger,SG3,NAD,3039,,,MP-ID,X [29],
52,MP-ID Empfänger,SG3,NAD,3055,9,,GS1,X,GS1
53,Abschnitts-Kontrollsegment,,,,,,,Muss,
54,Abschnitts-Kontrollsegment,,UNS,0081,und Summenteil,,,S,und Summenteil
55,Nachrichten-Endesegment,,,,,,,Muss,
56,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
57,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
