,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,ORDRSP,,Bestellantwort,X,Bestellantwort
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,Ausgabe 2010 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.2b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z51,,Sperrung,X,Sperrung
9,Beginn der Nachricht,,BGM,1001,Z52,,Entsperrung,X,
10,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
15,Referenz Nachrichtennummer,SG1,,,,,,Muss,
16,Referenz Nachrichtennummer,SG1,,,,,,Muss,
17,Referenz Nachrichtennummer,SG1,RFF,,,,,Muss,
18,Referenz Nachrichtennummer,SG1,RFF,1153,ACW,,Referenznummer einervorangegangenenNachricht,X,Referenznummer einervorangegangenenNachricht
19,Referenz Nachrichtennummer,SG1,RFF,1154,,,Referenz Nachrichtennummer,X ([24] ∧ [533])⊻ ([25] ∧ [534]),
20,Prüfidentifikator,SG1,,,,,,Muss,
21,Prüfidentifikator,SG1,,,,,,Muss,
22,Prüfidentifikator,SG1,RFF,,,,,Muss,
23,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
24,Prüfidentifikator,SG1,RFF,1154,19128,,Bestätigung StornierungSperr-/Entsperrauftrag,,Bestätigung StornierungSperr-/Entsperrauftrag
25,Prüfidentifikator,SG1,RFF,1154,19129,,Ablehnung StornierungSperr-/Entsperrauftrag,X,
26,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,Muss,
27,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,Muss,
28,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,,,,,Muss,
29,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,4465,,,Code des Prüfschritts,X [18],
30,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,1082,E_0468,,EBD Nr. E_0468,X,EBD Nr. E_0468
31,MP-ID Absender,SG3,,,,,,Muss,
32,MP-ID Absender,SG3,,,,,,Muss,
33,MP-ID Absender,SG3,NAD,,,,,Muss,
34,MP-ID Absender,SG3,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
35,MP-ID Absender,SG3,NAD,3039,,,MP-ID,X [30],
36,MP-ID Absender,SG3,NAD,3055,9,,GS1,X,GS1
37,MP-ID Absender,SG3,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
38,Ansprechpartner,SG6,,,,,,Kann,
39,Ansprechpartner,SG6,,,,,,Kann,
40,Ansprechpartner,SG6,CTA,,,,,Muss,
41,Ansprechpartner,SG6,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
42,Ansprechpartner,SG6,CTA,3412,,,Kontakt,X,
43,Kommunikationsverbindung,SG6,,,,,,,
44,Kommunikationsverbindung,SG6,,,,,,Muss,
45,Kommunikationsverbindung,SG6,COM,,,,,Muss,
46,Kommunikationsverbindung,SG6,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
47,Kommunikationsverbindung,SG6,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
48,Kommunikationsverbindung,SG6,COM,3155,FX,,Telefax,X [1P0..1],
49,Kommunikationsverbindung,SG6,COM,3155,TE,,Telefon,X [1P0..1],
50,Kommunikationsverbindung,SG6,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
51,Kommunikationsverbindung,SG6,COM,3155,AL,,Handy,X [1P0..1],
52,MP-ID Empfänger,SG3,,,,,,Muss,
53,MP-ID Empfänger,SG3,,,,,,Muss,
54,MP-ID Empfänger,SG3,NAD,,,,,Muss,
55,MP-ID Empfänger,SG3,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
56,MP-ID Empfänger,SG3,NAD,3039,,,MP-ID,X [30],
57,MP-ID Empfänger,SG3,NAD,3055,9,,GS1,X,GS1
58,MP-ID Empfänger,SG3,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
59,Abschnitts-Kontrollsegment,,,,,,,Muss,
60,Abschnitts-Kontrollsegment,,UNS,0081,S,,Trennung von Positions-und Summenteil,X,Trennung von Positions-und Summenteil
61,Nachrichten-Endesegment,,,,,,,Muss,
62,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
63,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
