,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,,ORDRSP,,Bestellantwort,X,
4,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,,10A,,Ausgabe 2010 - A,X,
6,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,,1.2b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,,,,,,Muss,
10,Beginn der Nachricht,,BGM,1001,,7,,Prozessdatenbericht,X,
11,Beginn der Nachricht,,BGM,1001,,Z14,,Stammdaten der Markt-oder Messlokation,X,
12,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,
13,Nachrichtendatum,,,,,,,,Muss,
14,Nachrichtendatum,,DTM,,,,,,Muss,
15,Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
16,Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt. 
[931] Format: ZZZ = +00"
17,Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
18,Abonnement,,,,,,,,Muss,
19,Abonnement,,IMD,,,,,,Muss,
20,Abonnement,,IMD,7081,,Z01,,Start Abo,,
21,Abonnement,,IMD,7081,,Z02,,Ende Abo,X,
22,Produkt-/ Leistungsbeschreibung,,,,,,,,Muss [1],
23,Produkt-/ Leistungsbeschreibung,,IMD,,,,,,Muss [1],[1] Wenn BGM+7 vorhanden
24,Produkt-/ Leistungsbeschreibung,,IMD,7081,,Z11,,Lastgangdaten,X,
25,Produkt-/ Leistungsbeschreibung,,IMD,7081,,Z12,,Zählerstände,X,
26,Referenz Nachrichtennummer,SG1,,,,,,,Muss,
27,Referenz Nachrichtennummer,SG1,,,,,,,Muss,
28,Referenz Nachrichtennummer,SG1,RFF,,,,,,Muss,
29,Referenz Nachrichtennummer,SG1,RFF,1153,,ON,,Auftragsnummer(Einkauf),X,
30,Referenz Nachrichtennummer,SG1,RFF,1154,,,,Referenz Nachrichtennummer,X,
31,Prüfidentifikator,SG1,,,,,,,Muss,
32,Prüfidentifikator,SG1,,,,,,,Muss,
33,Prüfidentifikator,SG1,RFF,,,,,,Muss,
34,Prüfidentifikator,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,
35,Prüfidentifikator,SG1,RFF,1154,,19301,,Ablehnung Abo,,
36,Prüfidentifikator,SG1,RFF,1154,,19302,,Bestätigung Ende Abo,X,
37,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,,Muss,
38,Einzelheiten zu einer Anpassung/Änderung,SG2,,,,,,,Muss,
39,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,,,,,,Muss,
40,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,4465,,,,Code des Prüfschritts,X,
41,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,1082,,Codeliste Strom Nr. S_0092Codeliste Strom Nr. S_0093,,S_0092S_0093,X,
42,MP-ID Absender,SG3,,,,,,,Muss,
43,MP-ID Absender,SG3,,,,,,,Muss,
44,MP-ID Absender,SG3,NAD,,,,,,Muss,
45,MP-ID Absender,SG3,NAD,3035,,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
46,MP-ID Absender,SG3,NAD,3039,,,,MP-ID,X [30],[30] MP-ID nur aus Sparte Strom
47,MP-ID Absender,SG3,NAD,3055,,9,,GS1,X,
48,MP-ID Absender,SG3,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
49,Ansprechpartner,SG6,,,,,,,Muss,
50,Ansprechpartner,SG6,,,,,,,Muss,
51,Ansprechpartner,SG6,CTA,,,,,,Muss,
52,Ansprechpartner,SG6,CTA,3139,,IC,,Informationskontakt,X,
53,Ansprechpartner,SG6,CTA,3412,,,,Kontakt,X,
54,Kommunikationsverbindung,SG6,,,,,,,,
55,Kommunikationsverbindung,SG6,,,,,,,Muss,
56,Kommunikationsverbindung,SG6,COM,,,,,,Muss,
57,Kommunikationsverbindung,SG6,COM,3148,,,,"Kommunikationsadresse,Identifikation",X,
58,Kommunikationsverbindung,SG6,COM,3155,,EM,,Elektronische Post,X [1P0..1],
59,Kommunikationsverbindung,SG6,COM,3155,,FX,,Telefax,X [1P0..1],
60,Kommunikationsverbindung,SG6,COM,3155,,TE,,Telefon,X [1P0..1],
61,Kommunikationsverbindung,SG6,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
62,Kommunikationsverbindung,SG6,COM,3155,,AL,,Handy,X [1P0..1],
63,MP-ID Empfänger,SG3,,,,,,,Muss,
64,MP-ID Empfänger,SG3,,,,,,,Muss,
65,MP-ID Empfänger,SG3,NAD,,,,,,Muss,
66,MP-ID Empfänger,SG3,NAD,3035,,MR,,Nachrichtenempfänger,X,
67,MP-ID Empfänger,SG3,NAD,3039,,,,MP-ID,X [30],[30] MP-ID nur aus Sparte Strom
68,MP-ID Empfänger,SG3,NAD,3055,,9,,GS1,X,
69,MP-ID Empfänger,SG3,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
70,Abschnitts-Kontrollsegment,,,,,,,,Muss,
71,Abschnitts-Kontrollsegment,,UNS,,,,,,Muss,
72,Abschnitts-Kontrollsegment,,UNS,0081,,S,,Trennung von Positions-und Summenteil,X,
73,Nachrichten-Endesegment,,,,,,,,Muss,
74,Nachrichten-Endesegment,,UNT,,,,,,Muss,
75,Nachrichten-Endesegment,,UNT,0074,,,,Anzahl der Segmente in einerNachricht,X,
76,Nachrichten-Endesegment,,UNT,0062,,,,Nachrichten-Referenznummer,X,
