,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,QUOTES,,Angebot,X,Angebot
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,Ausgabe 2010 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.2,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z57,,Übermittlung von Wertenan ESA,X,Übermittlung von Wertenan ESA
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Beginn zum (nächstmöglichen Termin),,,,,,,Muss,
15,Beginn zum (nächstmöglichen Termin),,DTM,2005,469,,"Startdatum oder -zeitpunkt, frühestes/r",X,"Startdatum oder -zeitpunkt, frühestes/r"
16,Beginn zum (nächstmöglichen Termin),,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
17,Beginn zum (nächstmöglichen Termin),,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
18,Erforderliche Zeitspanne zur Einrichtung der Übermittlung von Werten ab Bestellung,,,,,,,Kann,
19,Erforderliche Zeitspanne zur Einrichtung der Übermittlung von Werten ab Bestellung,,DTM,2005,279,,Vom Bestelleingangsdatumbis Lieferdatum,X,Vom Bestelleingangsdatumbis Lieferdatum
20,Erforderliche Zeitspanne zur Einrichtung der Übermittlung von Werten ab Bestellung,,DTM,2380,,,Zeitraum,X [908],
21,Erforderliche Zeitspanne zur Einrichtung der Übermittlung von Werten ab Bestellung,,DTM,2379,802,,Monat,X,Monat
22,Gültigkeitsdauer (Bindungsfrist des Angebots),,,,,,,Muss,
23,Gültigkeitsdauer (Bindungsfrist des Angebots),,DTM,2005,273,,Gültigkeitszeitspanne,X,Gültigkeitszeitspanne
24,Gültigkeitsdauer (Bindungsfrist des Angebots),,DTM,2380,,,Zeitraum,X [908],
25,Gültigkeitsdauer (Bindungsfrist des Angebots),,DTM,2379,802,,Monat,X,Monat
26,Allgemeine Information (Feld für allgemeine Hinweise),,,,,,,Kann,
27,Allgemeine Information (Feld für allgemeine Hinweise),,FTX,4451,(für allgemeine Hinweise),,,ACB,(für allgemeine Hinweise)
28,Allgemeine Information (Feld für allgemeine Hinweise),,FTX,4440,,,Freier Text,X,
29,Nachrichtennummer der Anfrage,SG1,,,,,,Muss,
30,Nachrichtennummer der Anfrage,SG1,,,,,,Muss,
31,Nachrichtennummer der Anfrage,SG1,RFF,,,,,Muss,
32,Nachrichtennummer der Anfrage,SG1,RFF,1153,AAV,,Nummer der Anfrage,X,Nummer der Anfrage
33,Nachrichtennummer der Anfrage,SG1,RFF,1154,,,Nachrichtennummer,X,
34,Prüfidentifikator,SG1,,,,,,Muss,
35,Prüfidentifikator,SG1,,,,,,Muss,
36,Prüfidentifikator,SG1,RFF,,,,,Muss,
37,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
38,Prüfidentifikator,SG1,RFF,1154,15003,,Angebot zur Anfrage vonWerten für ESA,X,Angebot zur Anfrage vonWerten für ESA
39,Währungsangaben,SG4,,,,,,Muss,
40,Währungsangaben,SG4,,,,,,Muss,
41,Währungsangaben,SG4,CUX,,,,,Muss,
42,Währungsangaben,SG4,CUX,6347,2,,Referenzwährung,X,Referenzwährung
43,Währungsangaben,SG4,CUX,6345,EUR,,Euro,X,Euro
44,Währungsangaben,SG4,CUX,6343,4,,Währung der Rechnung,X,Währung der Rechnung
45,MP-ID Absender,SG11,,,,,,Muss,
46,MP-ID Absender,SG11,,,,,,Muss,
47,MP-ID Absender,SG11,NAD,,,,,Muss,
48,MP-ID Absender,SG11,NAD,3035,,,,MS,
49,MP-ID Absender,SG11,NAD,3039,,,MP-ID,X [39],
50,MP-ID Absender,SG11,NAD,3055,9,,GS1,X,GS1
51,Ansprechpartner,SG14,,,,,,Muss,
52,Ansprechpartner,SG14,,,,,,Muss,
53,Ansprechpartner,SG14,CTA,,,,,Muss,
54,Ansprechpartner,SG14,CTA,3139,,,,IC,
55,Ansprechpartner,SG14,CTA,3412,,,Kontakt,X,
56,Kommunikationsverbindung,SG14,,,,,,,
57,Kommunikationsverbindung,SG14,,,,,,Muss,
58,Kommunikationsverbindung,SG14,COM,,,,,Muss,
59,Kommunikationsverbindung,SG14,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
60,Kommunikationsverbindung,SG14,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
61,MP-ID Empfänger,SG11,,,,,,Muss,
62,MP-ID Empfänger,SG11,,,,,,Muss,
63,MP-ID Empfänger,SG11,NAD,,,,,Muss,
64,MP-ID Empfänger,SG11,NAD,3035,,,,MR,
65,MP-ID Empfänger,SG11,NAD,3039,,,MP-ID,X [39],
66,MP-ID Empfänger,SG11,NAD,3055,9,,GS1,X,GS1
67,Marktlokation bzw. Messlokation,SG11,,,,,,Muss,
68,Marktlokation bzw. Messlokation,SG11,,,,,,Muss,
69,Marktlokation bzw. Messlokation,SG11,NAD,,,,,Muss,
70,Marktlokation bzw. Messlokation,SG11,NAD,3035,,,,DP,
71,Meldepunkt,SG11,,,,,,,
72,Meldepunkt,SG11,,,,,,Muss,
73,Meldepunkt,SG11,LOC,,,,,Muss,
74,Meldepunkt,SG11,LOC,3227,,,,172,
75,Meldepunkt,SG11,LOC,3225,,,Identifikator,X [950] [501] ⊻ [951] [502]⊻ [950] [507],
76,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,Muss [32] ∧ [36] ∧ [2041]∧ [510],
77,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,Muss [32] ∧ [36] ∧ [2041]∧ [510],
78,Erforderliches Messprodukt der Marktlokation,SG27,LIN,,,,,Muss,
79,Erforderliches Messprodukt der Marktlokation,SG27,LIN,1082,,,Positionsnummer,X [911],
80,Erforderliches Messprodukt der Marktlokation,SG27,LIN,1229,Marktlokation,,,Z27,Marktlokation
81,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,,
82,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,Muss,
83,Erforderliches Messprodukt der Marktlokation,SG27,PIA,,,,,Muss,
84,Erforderliches Messprodukt der Marktlokation,SG27,PIA,4347,,,,5,
85,Erforderliches Messprodukt der Marktlokation,SG27,PIA,7140,,,Messprodukt-Code,X [42] ∧ [45],
86,Erforderliches Messprodukt der Marktlokation,SG27,PIA,7143,Z11,,Messprodukt,X,Messprodukt
87,Erforderliche OBIS-Kennzahl der Marktlokation,SG27,,,,,,,
88,Erforderliche OBIS-Kennzahl der Marktlokation,SG27,,,,,,Muss,
89,Erforderliche OBIS-Kennzahl der Marktlokation,SG27,PIA,,,,,Muss,
90,Erforderliche OBIS-Kennzahl der Marktlokation,SG27,PIA,4347,,,,5,
91,Erforderliche OBIS-Kennzahl der Marktlokation,SG27,PIA,7140,,,Erforderliche OBIS-Kennzahl derMarktlokation,X,
92,Erforderliche OBIS-Kennzahl der Marktlokation,SG27,PIA,7143,SRW,,OBIS-Kennzahl,X,OBIS-Kennzahl
93,Geldbetrag,SG29,,,,,,Muss,
94,Geldbetrag,SG29,,,,,,Muss,
95,Geldbetrag,SG29,MOA,,,,,Muss,
96,Geldbetrag,SG29,MOA,5025,203,,Positionsbetrag (ohne USt.),X,Positionsbetrag (ohne USt.)
97,Geldbetrag,SG29,MOA,5004,,,Geldbetrag,X [930],
98,Preisangaben,SG31,,,,,,Muss,
99,Preisangaben,SG31,,,,,,Muss,
100,Preisangaben,SG31,PRI,,,,,Muss,
101,Preisangaben,SG31,PRI,5125,CAL,,Berechnungspreis,X,Berechnungspreis
102,Preisangaben,SG31,PRI,5118,,,"Preis, Betrag",X [912],
103,Preisangaben,SG31,PRI,6411,DAY,,Tag,X,Tag
104,Erforderliches Messprodukt der Tranche,SG27,,,,,,Muss [32] ∧ [37] ∧ [2041]∧ [510],
105,Erforderliches Messprodukt der Tranche,SG27,,,,,,Muss [32] ∧ [37] ∧ [2041]∧ [510],
106,Erforderliches Messprodukt der Tranche,SG27,LIN,,,,,Muss,
107,Erforderliches Messprodukt der Tranche,SG27,LIN,1082,,,Positionsnummer,X [911],
108,Erforderliches Messprodukt der Tranche,SG27,LIN,1229,der Tranche,,,Z16,der Tranche
109,Erforderliches Messprodukt der Tranche,SG27,,,,,,,
110,Erforderliches Messprodukt der Tranche,SG27,,,,,,Muss,
111,Erforderliches Messprodukt der Tranche,SG27,PIA,,,,,Muss,
112,Erforderliches Messprodukt der Tranche,SG27,PIA,4347,,,,5,
113,Erforderliches Messprodukt der Tranche,SG27,PIA,7140,,,Messprodukt-Code,X [42] ∧ [46],
114,Erforderliches Messprodukt der Tranche,SG27,PIA,7143,Z11,,Messprodukt,X,Messprodukt
115,Erforderliche OBIS-Kennzahl der Tranche,SG27,,,,,,,
116,Erforderliche OBIS-Kennzahl der Tranche,SG27,,,,,,Muss,
117,Erforderliche OBIS-Kennzahl der Tranche,SG27,PIA,,,,,Muss,
118,Erforderliche OBIS-Kennzahl der Tranche,SG27,PIA,4347,,,,5,
119,Erforderliche OBIS-Kennzahl der Tranche,SG27,PIA,7140,,,Erforderliche OBIS-Kennzahl derTranche,X,
120,Erforderliche OBIS-Kennzahl der Tranche,SG27,PIA,7143,SRW,,OBIS-Kennzahl,X,OBIS-Kennzahl
121,Geldbetrag,SG29,,,,,,Muss,
122,Geldbetrag,SG29,,,,,,Muss,
123,Geldbetrag,SG29,MOA,,,,,Muss,
124,Geldbetrag,SG29,MOA,5025,203,,Positionsbetrag (ohne USt.),X,Positionsbetrag (ohne USt.)
125,Geldbetrag,SG29,MOA,5004,,,Geldbetrag,X [930],
126,Preisangaben,SG31,,,,,,Muss,
127,Preisangaben,SG31,,,,,,Muss,
128,Preisangaben,SG31,PRI,,,,,Muss,
129,Preisangaben,SG31,PRI,5125,CAL,,Berechnungspreis,X,Berechnungspreis
130,Preisangaben,SG31,PRI,5118,,,"Preis, Betrag",X [912],
131,Preisangaben,SG31,PRI,6411,DAY,,Tag,X,Tag
132,Erforderliches Messprodukt der Messlokation,SG27,,,,,,Muss [33] ∧ [2041] ∧[510],
133,Erforderliches Messprodukt der Messlokation,SG27,,,,,,Muss [33] ∧ [2041] ∧[510],
134,Erforderliches Messprodukt der Messlokation,SG27,LIN,,,,,Muss,
135,Erforderliches Messprodukt der Messlokation,SG27,LIN,1082,,,Positionsnummer,X [911],
136,Erforderliches Messprodukt der Messlokation,SG27,LIN,1229,der Messlokation,,,Z19,der Messlokation
137,Erforderliches Messprodukt der Messlokation,SG27,,,,,,,
