,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,,REMADV,,Zahlungsavis,X,
4,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,,05A,,Ausgabe 2005 - A,X,
6,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,,2.9a,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,,,,,,Muss,
10,Beginn der Nachricht,,BGM,1001,,239,,Abgelehnte Forderung(Nicht-Zahlungsavis),X,
11,Beginn der Nachricht,,BGM,1001,,481,,Zahlungsavis,,
12,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,
13,Dokumentendatum,,,,,,,,Muss,
14,Dokumentendatum,,DTM,,,,,,Muss,
15,Dokumentendatum,,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
16,Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
17,Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
18,Prüfidentifikator,,,,,,,,Muss,
19,Prüfidentifikator,,RFF,,,,,,Muss,
20,Prüfidentifikator,,RFF,1153,,Z13,,Prüfidentifikator,X,
21,Prüfidentifikator,,RFF,1154,,33001,,Bestätigung,,
22,Prüfidentifikator,,RFF,1154,,33002,,Abweisung,X,
23,MP-ID Absender,SG1,,,,,,,Muss,
24,MP-ID Absender,SG1,,,,,,,Muss,
25,MP-ID Absender,SG1,NAD,,,,,,Muss,
26,MP-ID Absender,SG1,NAD,3035,,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
27,MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X,
28,MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,
29,MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
30,MP-ID Absender,SG1,NAD,3055,,332,,"DE, DVGW Service &Consult GmbH",X,
31,Ansprechpartner,SG3,,,,,,,Kann [503],
32,Ansprechpartner,SG3,,,,,,,Kann [503],"[503] Hinweis: Empfohlen, um bei Abweisung Ansprechpartner für Rückfragen zu erreichen."
33,Ansprechpartner,SG3,CTA,,,,,,Muss,
34,Ansprechpartner,SG3,CTA,3139,,IC,,Informationsstelle,X,
35,Ansprechpartner,SG3,CTA,3412,,,,Abteilung oder Bearbeiter,X,
36,Kommunikationsverbindung,SG3,,,,,,,,
37,Kommunikationsverbindung,SG3,,,,,,,Muss,
38,Kommunikationsverbindung,SG3,COM,,,,,,Muss,
39,Kommunikationsverbindung,SG3,COM,3148,,,,"Kommunikationsadresse,Identifikation",X,
40,Kommunikationsverbindung,SG3,COM,3155,,EM,,E-Mail,X [1P0..1],
41,Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],
42,Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],
43,Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
44,Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],
45,MP-ID Empfänger,SG1,,,,,,,Muss,
46,MP-ID Empfänger,SG1,,,,,,,Muss,
47,MP-ID Empfänger,SG1,NAD,,,,,,Muss,
48,MP-ID Empfänger,SG1,NAD,3035,,MR,,Nachrichtenempfänger,X,
49,MP-ID Empfänger,SG1,NAD,3039,,,,MP-ID,X,
50,MP-ID Empfänger,SG1,NAD,3055,,9,,GS1,X,
51,MP-ID Empfänger,SG1,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
52,MP-ID Empfänger,SG1,NAD,3055,,332,,"DE, DVGW Service &Consult GmbH",X,
53,Währungsangaben,SG4,,,,,,,Muss,
54,Währungsangaben,SG4,,,,,,,Muss,
55,Währungsangaben,SG4,CUX,,,,,,Muss,
56,Währungsangaben,SG4,CUX,6347,,2,,Referenzwährung,X,
57,Währungsangaben,SG4,CUX,6345,,EUR,,Euro,X,
58,Währungsangaben,SG4,CUX,6343,,11,,Zahlungswährung,X,
59,Dokument-/Nachrichten- Einzelheiten,SG5,,,,,,,Muss,
60,Dokument-/Nachrichten- Einzelheiten,SG5,,,,,,,Muss,
61,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,,,,,,Muss,
62,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1001,,380,,Handelsrechnung,X,
63,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1001,,389,,"Selbst ausgestellteRechnung (engl.: ""Self-billed invoice"")",X,
64,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1001,,457,,Storno einer Belastung.,X,
65,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1001,,Z25,,Storno für selbstausgestellte Rechnung(Gutschrift imGutschriftsverfahren),X,
66,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1004,,,,Dokumentennummer,X [511],"[511] Hinweis: BGM DE1004 aus der abgelehnten INVOIC- Nachricht 
[515] Hinweis: BGM DE1004 aus der bestätigten INVOIC- Nachricht"
67,Geforderter Rechnungsbetrag,SG5,,,,,,,,
68,Geforderter Rechnungsbetrag,SG5,,,,,,,Muss,
69,Geforderter Rechnungsbetrag,SG5,MOA,,,,,,Muss,
70,Geforderter Rechnungsbetrag,SG5,MOA,5025,,9,,Fälliger Betrag (inkl. USt.),X,
71,Geforderter Rechnungsbetrag,SG5,MOA,5004,,,,Geldbetrag,X [930] [501],"[501] Hinweis: An dieser Stelle ist der Betrag aus SG50 MOA+9 der zugrundeliegenden INVOIC zu übernehmen. 
[930] Format: max. 2 Nachkommastellen"
72,Überweisungsbetrag,SG5,,,,,,,,
73,Überweisungsbetrag,SG5,,,,,,,Muss,
74,Überweisungsbetrag,SG5,MOA,,,,,,Muss,
75,Überweisungsbetrag,SG5,MOA,5025,,12,,Überweisungsbetrag,X,
76,Überweisungsbetrag,SG5,MOA,5004,,,,Geldbetrag,X [926],"[3] Bei SG5 DOC+389 / Z25 ist der Wert aus derselben SG5 MOA+9 mit (-1) multipliziert anzugeben. 
[4] Bei SG5 DOC+380 / 457 ist der Wert aus derselben SG5 MOA+9 unverändert anzugeben. 
[926] Format: Möglicher Wert: 0  
[930] Format: max. 2 Nachkommastellen"
77,Rechnungsdatum,SG5,,,,,,,,
78,Rechnungsdatum,SG5,,,,,,,Muss,
79,Rechnungsdatum,SG5,DTM,,,,,,Muss,
80,Rechnungsdatum,SG5,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
81,Rechnungsdatum,SG5,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
82,Rechnungsdatum,SG5,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
83,Referenz auf COMDIS,SG5,,,,,,,,
84,Referenz auf COMDIS,SG5,,,,,,,Soll [510],
85,Referenz auf COMDIS,SG5,RFF,,,,,,Soll [510],[510] Hinweis: Bei Ablehnung einer vorherigen COMDIS
86,Referenz auf COMDIS,SG5,RFF,1153,,ACW,,Referenznummer einervorangegangenenNachricht,X,
87,Referenz auf COMDIS,SG5,RFF,1154,,,,"Referenz, Identifikation",X [512],[512] Hinweis: BGM DE1004 aus der abgelehnten COMDIS-Nachricht
88,Abweichungsgrund,SG7,,,,,,,Muss,
89,Abweichungsgrund,SG7,,,,,,,Muss,
90,Abweichungsgrund,SG7,AJT,,,,,,Muss,
91,Abweichungsgrund,SG7,AJT,4465,,,,Code des Prüfschritts,X,
92,Abweichungsgrund,SG7,AJT,1082,,G_0079,,Codeliste Gas Nr.G_0079,X [493],
93,Abweichungsgrund,SG7,AJT,1082,,G_0080,,Codeliste Gas Nr.G_0080,X [493],
94,Abweichungsgrund,SG7,AJT,1082,,G_0081,,Codeliste Gas Nr.,X [493],"[492] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) aus Sparte Strom 
[493] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) aus"
95,Nähere Erläuterung des Abweichungsgrundes,SG7,,,,,,,,
