,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,UNH,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,UNH,,UNH,0065,INSRPT,,Prüfbericht,X,
3,UNH,,UNH,0052,D,,Entwurfs-Version,X,
4,UNH,,UNH,0054,10A,,Ausgabe 2010 - A,X,
5,UNH,,UNH,0051,UN,,UN/CEFACT,X,
6,UNH,,UNH,0057,1.1a,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,,,,,,Muss,
8,BGM,,BGM,1001,4,,Prüfbericht,X,
9,BGM,,BGM,1004,,,Dokumentennummer,X,
10,Dokumentendatum,,,,,,,Muss,
11,DTM,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
12,DTM,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt 
[931] Format: ZZZ = +00"
13,DTM,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
14,MP-ID Empfänger,SG2,,,,,,Muss,
15,MP-ID Empfänger,SG2,,,,,,Muss,
16,MP-ID Empfänger,SG2,NAD,,,,,Muss,
17,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,
18,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X,
19,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,
20,MP-ID Empfänger,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
21,MP-ID Empfänger,SG2,NAD,3055,332,,"DE, DVGW Service &Consult GmbH",X,
22,MP-ID Absender,SG2,,,,,,Muss,
23,MP-ID Absender,SG2,,,,,,Muss,
24,MP-ID Absender,SG2,NAD,,,,,Muss,
25,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
26,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X,
27,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,
28,MP-ID Absender,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
29,Dokument-/Nachricht- Einzelheiten,SG3,,,,,,Muss,
30,Dokument-/Nachricht- Einzelheiten,SG3,,,,,,Muss,
31,Dokument-/Nachricht- Einzelheiten,SG3,DOC,,,,,Muss,
32,Dokument-/Nachricht- Einzelheiten,SG3,DOC,1001,23,,Statusinformationen,,
33,Dokument-/Nachricht- Einzelheiten,SG3,DOC,1001,293,,Prüfbericht,X,
34,Dokument-/Nachricht- Einzelheiten,SG3,DOC,1004,,,Vorgangsnummer,X,
35,Prüfidentifikator,SG4,,,,,,Muss,
36,Prüfidentifikator,SG4,,,,,,Muss,
37,Prüfidentifikator,SG4,RFF,,,,,Muss,
38,Prüfidentifikator,SG4,RFF,1153,Z13,,Prüfidentifikator,X,
39,Prüfidentifikator,SG4,RFF,1154,23005,,WiM /Informationsmeldung(Störungsmeldung) vomMSB an NB (Gas)/MSB(Strom),,
40,Prüfidentifikator,SG4,RFF,1154,23009,,WiM /Informationsmeldung(Störungsbehebung) vomMSB an NB (Gas)/MSB(Strom),X,
41,Referenzangaben,SG4,,,,,,Muss,
42,Referenzangaben,SG4,,,,,,Muss,
43,Referenzangaben,SG4,RFF,,,,,Muss,
44,Referenzangaben,SG4,RFF,1153,TN,,Transaktions-Referenznummer,X,
45,Referenzangaben,SG4,RFF,1154,,,Dokumenten-/Vorgangsnummerder Bezugsnachricht,X [508],[508] Hinweis: Vorgangsnummer aus DOC DE1004.
46,Positionsdaten,SG7,,,,,,Muss,
47,Positionsdaten,SG7,,,,,,Muss,
48,Positionsdaten,SG7,LIN,,,,,Muss,
49,Positionsdaten,SG7,LIN,1082,,,Positionsnummer,X [908] [511],"[511] Hinweis: Die Nummerierung beginnt in jedem Dokument bei 1 
[908] Format: Mögliche Werte: 1 bis n"
50,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,,,,,,,
51,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,,,,,,Soll [3],
52,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,DTM,,,,,Soll [3],[3] Wenn vorhanden.
53,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,DTM,2005,9,,Bearbeitungs-/Verarbeitungsdatum/-zeit,X,
54,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X ([931] [13] ∧[495]) ⊻ ([495]∧ [515]),"[13] Wenn DE2379 = 303 
[495] Der Zeitpunkt muss ≤ dem Wert im DE2380 des DTM+137 sein 
[515] Hinweis: ""≤ dem Wert"
55,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,DTM,2379,102,,CCYYMMDD,X,
56,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,SG7,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
57,Beginn des Geräte-Status,SG7,,,,,,,
58,Beginn des Geräte-Status,SG7,,,,,,Kann,
59,Beginn des Geräte-Status,SG7,DTM,,,,,Kann,
60,Beginn des Geräte-Status,SG7,DTM,2005,163,,"Verarbeitung,Beginndatum/-zeit",X,
61,Beginn des Geräte-Status,SG7,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X ([931] [13] ∧[495]) ⊻ ([495]∧ [515]),"[13] Wenn DE2379 = 303 
[495] Der Zeitpunkt muss ≤ dem Wert im DE2380 des DTM+137 sein 
[515] Hinweis: ""≤ dem Wert im DE2380 des DTM+137"" bedeutet, dass der dort genannte Tag ≥ dem in diesem DTM genannten Tag sein muss, wenn in DE2379 der Code 102 steht. 
[931] Format: ZZZ = +00"
62,Beginn des Geräte-Status,SG7,DTM,2379,102,,CCYYMMDD,X,
63,Beginn des Geräte-Status,SG7,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
64,Ende des Geräte-Status,SG7,,,,,,,
65,Ende des Geräte-Status,SG7,,,,,,Muss,
66,Ende des Geräte-Status,SG7,DTM,,,,,Muss,
67,Ende des Geräte-Status,SG7,DTM,2005,164,,"Verarbeitung,Endedatum/-zeit",X,
68,Ende des Geräte-Status,SG7,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X ([931] [13] ∧[495]) ⊻ ([495]∧ [515]),"[13] Wenn DE2379 = 303 
[495] Der Zeitpunkt muss ≤ dem Wert im DE2380 des DTM+137 sein 
[515] Hinweis: ""≤ dem Wert im DE2380 des DTM+137"" bedeutet, dass der dort genannte Tag ≥ dem in diesem DTM genannten Tag sein muss, wenn in DE2379 der Code 102 steht. 
[931] Format: ZZZ = +00"
69,Ende des Geräte-Status,SG7,DTM,2379,102,,CCYYMMDD,X,
70,Ende des Geräte-Status,SG7,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
71,Ende des Zustands,SG7,,,,,,,
72,Ende des Zustands,SG7,,,,,,,
73,Ende des Zustands,SG7,DTM,,,,,,
74,Ende des Zustands,SG7,DTM,2005,292,,"Datum/Zeit derabgeschlossenenLeistung (Arbeit), geplant",,
75,Ende des Zustands,SG7,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,"[13] Wenn DE2379 = 303 
[931] Format: ZZZ = +00"
76,Ende des Zustands,SG7,DTM,2379,102,,CCYYMMDD,,
77,Ende des Zustands,SG7,DTM,2379,303,,CCYYMMDDHHMMZZZ,,
78,Gerätestatus,SG7,,,,,,,
79,Gerätestatus,SG7,,,,,,Muss,
80,Gerätestatus,SG7,STS,,,,,Muss,
81,Gerätestatus,SG7,STS,9015,Z06,,Gerätestatus,X,
82,Gerätestatus,SG7,STS,4405,Z09,,störungsfrei,X,
83,Gerätestatus,SG7,STS,4405,Z10,,gestört,X,
84,Gerätestatus,SG7,STS,9013,Z75,,Kommunikationsstörung,X,
85,Gerätestatus,SG7,STS,9013,Z78,,Gerätewechsel,X,
86,Gerätestatus,SG7,STS,9013,Z81,,Messeinrichtunggestört/defekt,X,
87,Gerätestatus,SG7,STS,9013,ZB8,,keine Störungfeststellbar,X,
88,Gerätestatus,SG7,STS,9013,ZC1,,Störungsbehebung nichtmöglich,X [506] ∧ [507],"[506] Hinweis: Zu nutzen, wenn Behebung der Störung durch den MSB selbständig und unverschuldet nicht möglich ist.  
[507] Hinweis: In SG7 FTX+AAO ist anzugeben, was die übergeordnete Ursache ist, aufgrund derer der MSB nicht in der Lage ist die Störung zu beheben."
89,Freier Text,SG7,,,,,,,
90,Freier Text,SG7,,,,,,Muss [2],
91,Freier Text,SG7,FTX,,,,,Muss [2],[2] Wenn SG7 STS+Z06+Z10+ZC1 vorhanden.
92,Freier Text,SG7,FTX,4451,AAO,,Fehlerbeschreibung(Freier Text),X,
93,Freier Text,SG7,FTX,4440,,,Freier Text,X,
94,Messlokation,SG8,,,,,,Muss,
95,Messlokation,SG8,,,,,,Muss,
96,Messlokation,SG8,NAD,,,,,Muss,
97,Messlokation,SG8,NAD,3035,DP,,Lieferanschrift,X,
98,Meldepunkt,SG8,,,,,,,
99,Meldepunkt,SG8,,,,,,Muss,
100,Meldepunkt,SG8,LOC,,,,,Muss,
101,Meldepunkt,SG8,LOC,3227,172,,Meldepunkt,X,
102,Meldepunkt,SG8,LOC,3225,,,Identifikator,X [951] [509],"[509] Hinweis: Verwendung der ID der Messlokation 
[951] Format: Zählpunktbezeichnung"
103,Nachrichten-Endesegment,,,,,,,Muss,
104,UNT,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
105,UNT,,UNT,0062,,,Nachrichten-Referenznummer,X,
