,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,ORDERS,,Bestellung,X,Bestellung
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,09B,,Ausgabe 2009 - B,X,Ausgabe 2009 - B
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.3,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z73,,Bestellung einerKonfiguration,X,Bestellung einerKonfiguration
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Ausführungsdatum,,,,,,,Muss [122],
15,Ausführungsdatum,,DTM,2005,203,,Ausführungsdatum/-zeit,X,Ausführungsdatum/-zeit
16,Ausführungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
17,Ausführungsdatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
18,Referenznummer der Nachricht der vorläufigen Anmeldebestätigung WiM des NB,SG1,,,,,,Muss [123],
19,Referenznummer der Nachricht der vorläufigen Anmeldebestätigung WiM des NB,SG1,,,,,,Muss [123],
20,Referenznummer der Nachricht der vorläufigen Anmeldebestätigung WiM des NB,SG1,RFF,,,,,Muss,
21,Referenznummer der Nachricht der vorläufigen Anmeldebestätigung WiM des NB,SG1,RFF,1153,Z40,,Referenznummer derNachricht der vorläufigenAnmeldebestätigung WiMdes NB,X,Referenznummer derNachricht der vorläufigenAnmeldebestätigung WiMdes NB
22,Referenznummer der Nachricht der vorläufigen Anmeldebestätigung WiM des NB,SG1,RFF,1154,,,"Referenz, Identifikation",X [556],
23,Referenznummer des Vorgangs der vorläufigen Anmeldebestätigung WiM des NB,SG1,,,,,,Muss [124],
24,Referenznummer des Vorgangs der vorläufigen Anmeldebestätigung WiM des NB,SG1,,,,,,Muss [124],
25,Referenznummer des Vorgangs der vorläufigen Anmeldebestätigung WiM des NB,SG1,RFF,,,,,Muss,
26,Referenznummer des Vorgangs der vorläufigen Anmeldebestätigung WiM des NB,SG1,RFF,1153,Z41,,Referenznummer desVorgangs der vorläufigenAnmeldebestätigung WiMdes NB,X,Referenznummer desVorgangs der vorläufigenAnmeldebestätigung WiMdes NB
27,Referenznummer des Vorgangs der vorläufigen Anmeldebestätigung WiM des NB,SG1,RFF,1154,,,"Referenz, Identifikation",X [555],
28,Prüfidentifikator,SG1,,,,,,Muss,
29,Prüfidentifikator,SG1,,,,,,Muss,
30,Prüfidentifikator,SG1,RFF,,,,,Muss,
31,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
32,Prüfidentifikator,SG1,RFF,1154,17130,,Bestellung Änderung einerKonfiguration,X,Bestellung Änderung einerKonfiguration
33,MP-ID Absender,SG2,,,,,,Muss,
34,MP-ID Absender,SG2,,,,,,Muss,
35,MP-ID Absender,SG2,NAD,,,,,Muss,
36,MP-ID Absender,SG2,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,Nachrichtenaussteller bzw.-absender
37,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X [61],
38,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
39,Ansprechpartner,SG5,,,,,,Kann,
40,Ansprechpartner,SG5,,,,,,Kann,
41,Ansprechpartner,SG5,CTA,,,,,Muss,
42,Ansprechpartner,SG5,CTA,3139,,,,IC,
43,Ansprechpartner,SG5,CTA,3412,,,Kontakt,X,
44,Kommunikationsverbindung,SG5,,,,,,,
45,Kommunikationsverbindung,SG5,,,,,,Muss,
46,Kommunikationsverbindung,SG5,COM,,,,,Muss,
47,Kommunikationsverbindung,SG5,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
48,Kommunikationsverbindung,SG5,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
49,MP-ID Empfänger,SG2,,,,,,Muss,
50,MP-ID Empfänger,SG2,,,,,,Muss,
51,MP-ID Empfänger,SG2,NAD,,,,,Muss,
52,MP-ID Empfänger,SG2,NAD,3035,,,,MR,
53,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [61],
54,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
55,Meldepunkt,SG2,,,,,,Muss,
56,Meldepunkt,SG2,,,,,,Muss,
57,Meldepunkt,SG2,NAD,,,,,Muss,
58,Meldepunkt,SG2,NAD,3035,,,,DP,
59,Meldepunkt,SG2,,,,,,,
60,Meldepunkt,SG2,,,,,,Muss,
61,Meldepunkt,SG2,LOC,,,,,Muss,
62,Meldepunkt,SG2,LOC,3227,,,,172,
63,Meldepunkt,SG2,LOC,3225,,,Identifikator,X ([950] [521] ∧ ([118] ⊻[120])) ⊻ ([951] [522] ∧([120] ⊻ [121])) ⊻ ([960][552] ∧ ([118] ⊻ [119] ⊻[120])) ⊻ ([961] [553] ∧([117] ⊻ [118] ⊻ [119])),
64,MP-ID des NB der vorläufigen Anmeldebestätigung WiM,SG2,,,,,,Muss [124],
65,MP-ID des NB der vorläufigen Anmeldebestätigung WiM,SG2,,,,,,Muss [124],
66,MP-ID des NB der vorläufigen Anmeldebestätigung WiM,SG2,NAD,,,,,Muss,
67,MP-ID des NB der vorläufigen Anmeldebestätigung WiM,SG2,NAD,3035,,,,DDM,
68,MP-ID des NB der vorläufigen Anmeldebestätigung WiM,SG2,NAD,3039,,,MP-ID,X [61],
69,MP-ID des NB der vorläufigen Anmeldebestätigung WiM,SG2,NAD,3055,9,,GS1,X,GS1
70,Erforderliches Produkt Schaltzeitdefinitionen,SG29,,,,,,Muss [133] ∧ [136] ∧[137] ∧ [138] ∧ [139] ∧[2050],
71,Erforderliches Produkt Schaltzeitdefinitionen,SG29,,,,,,Muss [133] ∧ [136] ∧[137] ∧ [138] ∧ [139] ∧[2050],
72,Erforderliches Produkt Schaltzeitdefinitionen,SG29,LIN,,,,,Muss,
73,Erforderliches Produkt Schaltzeitdefinitionen,SG29,LIN,1082,,,Positionsnummer,X [903],
74,Erforderliches Produkt Schaltzeitdefinitionen,SG29,LIN,1229,Schaltzeitdefinitionen,,,Z64,Schaltzeitdefinitionen
75,Erforderliches Produkt Schaltzeitdefinitionen,SG29,,,,,,,
76,Erforderliches Produkt Schaltzeitdefinitionen,SG29,,,,,,Muss,
77,Erforderliches Produkt Schaltzeitdefinitionen,SG29,PIA,,,,,Muss,
78,Erforderliches Produkt Schaltzeitdefinitionen,SG29,PIA,4347,,,,5,
79,Erforderliches Produkt Schaltzeitdefinitionen,SG29,PIA,7140,,,Produkt-Code,X [125],
80,Erforderliches Produkt Schaltzeitdefinitionen,SG29,PIA,7143,Z12,,Konfigurationsprodukt,X,Konfigurationsprodukt
81,Zugeordnete Schaltdefnition,SG30,,,,,,Muss,
82,Zugeordnete Schaltdefnition,SG30,,,,,,Muss,
83,Zugeordnete Schaltdefnition,SG30,CCI,,,,,Muss,
84,Zugeordnete Schaltdefnition,SG30,CCI,7059,,,,Z52,
85,Zugeordnete Schaltzeitdefnition,SG30,,,,,,,
86,Zugeordnete Schaltzeitdefnition,SG30,,,,,,Muss,
87,Zugeordnete Schaltzeitdefnition,SG30,CAV,,,,,Muss,
88,Zugeordnete Schaltzeitdefnition,SG30,CAV,7111,,,Code der Schaltzeitdefinition,X,
89,Erforderliches Produkt Leistungskurvendefinitione n,SG29,,,,,,Muss ([130] ⊻ [132] ⊻[133]) ∧ [135] ∧ [137] ∧[138] ∧ [139] ∧ [2050],
90,Erforderliches Produkt Leistungskurvendefinitione n,SG29,,,,,,Muss ([130] ⊻ [132] ⊻[133]) ∧ [135] ∧ [137] ∧[138] ∧ [139] ∧ [2050],
91,Erforderliches Produkt Leistungskurvendefinitione n,SG29,LIN,,,,,Muss,
92,Erforderliches Produkt Leistungskurvendefinitione n,SG29,LIN,1082,,,Positionsnummer,X [903],
93,Erforderliches Produkt Leistungskurvendefinitione n,SG29,LIN,1229,Leistungskurvendefinitionen,,,Z65,Leistungskurvendefinitionen
94,Erforderliches Produkt Leistungskurvendefinitione n,SG29,,,,,,,
95,Erforderliches Produkt Leistungskurvendefinitione n,SG29,,,,,,Muss,
96,Erforderliches Produkt Leistungskurvendefinitione n,SG29,PIA,,,,,Muss,
97,Erforderliches Produkt Leistungskurvendefinitione n,SG29,PIA,4347,,,,5,
98,Erforderliches Produkt Leistungskurvendefinitione n,SG29,PIA,7140,,,Produkt-Code,X [126],
99,Erforderliches Produkt Leistungskurvendefinitione n,SG29,PIA,7143,Z12,,Konfigurationsprodukt,X,Konfigurationsprodukt
100,Zugeordnete Leistungskurvendefinition,SG30,,,,,,Muss,
101,Zugeordnete Leistungskurvendefinition,SG30,,,,,,Muss,
102,Zugeordnete Leistungskurvendefinition,SG30,CCI,,,,,Muss,
103,Zugeordnete Leistungskurvendefinition,SG30,CCI,7059,,,,Z53,
104,Zugeordnete Leistungskurvendefinition,SG30,,,,,,,
105,Zugeordnete Leistungskurvendefinition,SG30,,,,,,Muss,
106,Zugeordnete Leistungskurvendefinition,SG30,CAV,,,,,Muss,
107,Zugeordnete Leistungskurvendefinition,SG30,CAV,7111,,,Code der Leistungskurvendefinition,X,
108,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,,,,,,Muss ([132] ⊻ [133]) ∧[135] ∧ [136] ∧ [138] ∧[139] ∧ [2050],
109,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,,,,,,Muss ([132] ⊻ [133]) ∧[135] ∧ [136] ∧ [138] ∧[139] ∧ [2050],
110,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,LIN,,,,,Muss,
111,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,LIN,1082,,,Positionsnummer,X [903],
112,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,LIN,1229,Ad-hoc-Steuerkanal,,,Z66,Ad-hoc-Steuerkanal
113,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,,,,,,,
114,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,,,,,,Muss,
115,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,PIA,,,,,Muss,
116,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,PIA,4347,,,,5,
117,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,PIA,7140,,,Produkt-Code,X [127],
118,Erforderliches Produkt Ad- hoc-Steuerkanal,SG29,PIA,7143,Z12,,Konfigurationsprodukt,X,Konfigurationsprodukt
119,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,SG29,,,,,,Muss ([130] ⊻ [131] ⊻[132]) ∧ [135] ∧ [136] ∧[137] ∧ [139] ∧ [2050],
