,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss [12],
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,PRICAT,,Preisliste/Katalog,X,Preisliste/Katalog
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,20B,,Ausgabe 2020 - B,X,Ausgabe 2020 - B
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,2.0c,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z04,,Ausgleichsenergiepreis,X,Ausgleichsenergiepreis
9,Beginn der Nachricht,,BGM,1001,Z32,,PreisblattMessstellenbetrieb,,
10,Beginn der Nachricht,,BGM,1001,Z77,,PreisblattKonfigurationen,,[30] wenn MP-ID in SG2 NAD+MR in der Rolle LF
11,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
12,Beginn der Nachricht,,BGM,1373,11,,Dokument nichtverfügbar,,Dokument nichtverfügbar
13,Betrachtungszeitintervall,,,,,,,Muss,
14,Betrachtungszeitintervall,,DTM,2005,492,,"Bilanzierungsdatum, -zeit, -periode",X,"Bilanzierungsdatum, -zeit, -periode"
15,Betrachtungszeitintervall,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X,
16,Betrachtungszeitintervall,,DTM,2379,610,,CCYYMM,X,CCYYMM
17,Nachrichtendatum,,,,,,,Muss,
18,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
19,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
20,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
21,Gültigkeitsbeginn,,,,,,,,
22,Gültigkeitsbeginn,,DTM,2005,157,,"Gültigkeit, Beginndatum",,"Gültigkeit, Beginndatum"
23,Gültigkeitsbeginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
24,Gültigkeitsbeginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,,CCYYMMDDHHMMZZZ
25,Vorgängerversion,SG1,,,,,,,
26,Vorgängerversion,SG1,,,,,,,
27,Vorgängerversion,SG1,RFF,,,,,,
28,Vorgängerversion,SG1,RFF,1153,ACW,,Referenznummer einervorangegangenenNachricht,,Referenznummer einervorangegangenenNachricht
29,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",,
30,Prüfidentifikator,SG1,,,,,,Muss,
31,Prüfidentifikator,SG1,,,,,,Muss,
32,Prüfidentifikator,SG1,RFF,,,,,Muss,
33,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
34,Prüfidentifikator,SG1,RFF,1154,27001,,Übermittlung derAusgleichsenergiepreise,X,Übermittlung derAusgleichsenergiepreise
35,Prüfidentifikator,SG1,RFF,1154,27002,,Preisblatt MSB-Leistungen,,
