,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,REMADV,,Zahlungsavis,X,Zahlungsavis
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,05A,,Ausgabe 2005 - A,X,Ausgabe 2005 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,2.9b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,239,,Abgelehnte Forderung(Nicht-Zahlungsavis),X,Abgelehnte Forderung(Nicht-Zahlungsavis)
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Dokumentendatum,,,,,,,Muss,
11,Dokumentendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Dokumentendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
13,Dokumentendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,Prüfidentifikator,,,,,,,Muss,
15,Prüfidentifikator,,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
16,Prüfidentifikator,,RFF,1154,33001,,Bestätigung,,Bestätigung
17,MP-ID Absender,SG1,,,,,,Muss,
18,MP-ID Absender,SG1,,,,,,Muss,
19,MP-ID Absender,SG1,NAD,,,,,Muss,
20,MP-ID Absender,SG1,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
21,MP-ID Absender,SG1,NAD,3039,,,MP-ID,X,
22,MP-ID Absender,SG1,NAD,3055,9,,GS1,X,GS1
23,Ansprechpartner,SG3,,,,,,Kann [503],
24,Ansprechpartner,SG3,,,,,,Kann [503],
25,Ansprechpartner,SG3,CTA,,,,,Muss,
26,Ansprechpartner,SG3,CTA,3139,IC,,Informationsstelle,X,Informationsstelle
27,Ansprechpartner,SG3,CTA,3412,,,Abteilung oder Bearbeiter,X,
28,Kommunikationsverbindung,SG3,,,,,,,
29,Kommunikationsverbindung,SG3,,,,,,Muss,
30,Kommunikationsverbindung,SG3,COM,,,,,Muss,
31,Kommunikationsverbindung,SG3,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
32,Kommunikationsverbindung,SG3,COM,3155,EM,,E-Mail,X [1P0..1],E-Mail
33,MP-ID Empfänger,SG1,,,,,,Muss,
34,MP-ID Empfänger,SG1,,,,,,Muss,
35,MP-ID Empfänger,SG1,NAD,,,,,Muss,
36,MP-ID Empfänger,SG1,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
37,MP-ID Empfänger,SG1,NAD,3039,,,MP-ID,X,
38,MP-ID Empfänger,SG1,NAD,3055,9,,GS1,X,GS1
39,Währungsangaben,SG4,,,,,,Muss,
40,Währungsangaben,SG4,,,,,,Muss,
41,Währungsangaben,SG4,CUX,,,,,Muss,
42,Währungsangaben,SG4,CUX,6347,2,,Referenzwährung,X,Referenzwährung
43,Währungsangaben,SG4,CUX,6345,EUR,,Euro,X,Euro
44,Währungsangaben,SG4,CUX,6343,11,,Zahlungswährung,X,Zahlungswährung
45,Dokument-/Nachrichten- Einzelheiten,SG5,,,,,,Muss,
46,Dokument-/Nachrichten- Einzelheiten,SG5,,,,,,Muss,
47,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,,,,,Muss,
48,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1001,380,,Handelsrechnung,X,Handelsrechnung
49,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1004,,,Dokumentennummer,X [511],
50,Geforderter Rechnungsbetrag,SG5,,,,,,,
51,Geforderter Rechnungsbetrag,SG5,,,,,,Muss,
52,Geforderter Rechnungsbetrag,SG5,MOA,,,,,Muss,
53,Geforderter Rechnungsbetrag,SG5,MOA,5025,9,,Fälliger Betrag (inkl. USt.),X,Fälliger Betrag (inkl. USt.)
54,Geforderter Rechnungsbetrag,SG5,MOA,5004,,,Geldbetrag,X [930] [501],
55,Überweisungsbetrag,SG5,,,,,,,
56,Überweisungsbetrag,SG5,,,,,,Muss,
57,Überweisungsbetrag,SG5,MOA,,,,,Muss,
58,Überweisungsbetrag,SG5,MOA,5025,12,,Überweisungsbetrag,X,Überweisungsbetrag
59,Überweisungsbetrag,SG5,MOA,5004,,,Geldbetrag,X [926],
60,Rechnungsdatum,SG5,,,,,,,
61,Rechnungsdatum,SG5,,,,,,Muss,
62,Rechnungsdatum,SG5,DTM,,,,,Muss,
63,Rechnungsdatum,SG5,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
64,Rechnungsdatum,SG5,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
65,Rechnungsdatum,SG5,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
66,Referenz auf COMDIS,SG5,,,,,,,
67,Referenz auf COMDIS,SG5,,,,,,Soll [510],
68,Referenz auf COMDIS,SG5,RFF,,,,,Soll [510],
69,Referenz auf COMDIS,SG5,RFF,1153,ACW,,Referenznummer einervorangegangenenNachricht,X,Referenznummer einervorangegangenenNachricht
70,Referenz auf COMDIS,SG5,RFF,1154,,,"Referenz, Identifikation",X [512],
71,Abweichungsgrund,SG7,,,,,,Muss,
72,Abweichungsgrund,SG7,,,,,,Muss,
73,Abweichungsgrund,SG7,AJT,,,,,Muss,
74,Abweichungsgrund,SG7,AJT,4465,,,Code des Prüfschritts,X,
75,Abweichungsgrund,SG7,AJT,1082,G_0079,,Codeliste Gas Nr.G_0079,X [493],Codeliste Gas Nr.G_0079
76,Nähere Erläuterung des Abweichungsgrundes,SG7,,,,,,,
77,Nähere Erläuterung des Abweichungsgrundes,SG7,,,,,,Muss ([2] ∨ [8]∨ [9] ∨ [59] ∨[60] ∨ [61] ∨[62] ∨ [63] ∨[72] ∨ [73] ∨[74])Kann,
78,Nähere Erläuterung des Abweichungsgrundes,SG7,FTX,,,,,Muss ([2] ∨ [8]∨ [9] ∨ [59] ∨[60] ∨ [61] ∨[62] ∨ [63] ∨[72] ∨ [73] ∨[74])Kann,
79,Nähere Erläuterung des Abweichungsgrundes,SG7,FTX,4451,ABO,,Information überAbweichung,X,Information überAbweichung
80,Nähere Erläuterung des Abweichungsgrundes,SG7,FTX,4440,,,Freier Text,X [548],
81,Trennung von Positions- u. Summenteil,,,,,,,Muss,
82,Trennung von Positions- u. Summenteil,,UNS,0081,S,,Trennung von Positions-und Summenteil,X,Trennung von Positions-und Summenteil
83,Summenbetrag,,,,,,,Muss,
84,Summenbetrag,,MOA,5025,12,,Überweisungsbetrag,X,Überweisungsbetrag
85,Summenbetrag,,MOA,5004,,,Geldbetrag,X [926],
86,Nachrichten-Endesegment,,,,,,,Muss,
87,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
88,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
