,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,REQOTE,,Anfrage,X,
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,1.3,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,311,,Aufforderung zurAngebotsabgabe (Anfrage),X,
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt. 
[931] Format: ZZZ = +00"
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
14,Datum zum geplanten Leistungsbeginn,,,,,,,Muss,
15,Datum zum geplanten Leistungsbeginn,,DTM,2005,76,,"Lieferdatum/-zeit, geplant",X,
16,Datum zum geplanten Leistungsbeginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB3],
17,Datum zum geplanten Leistungsbeginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
18,Prüfidentifikator,SG1,,,,,,Muss,
19,Prüfidentifikator,SG1,,,,,,Muss,
20,Prüfidentifikator,SG1,RFF,,,,,Muss,
21,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,
22,Prüfidentifikator,SG1,RFF,1154,35001,,Anforderung AngebotGeräteübernahme,X,
23,MP-ID Absender,SG11,,,,,,Muss,
24,MP-ID Absender,SG11,,,,,,Muss,
25,MP-ID Absender,SG11,NAD,,,,,Muss,
26,MP-ID Absender,SG11,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,
27,MP-ID Absender,SG11,NAD,3039,,,MP-ID,X,
28,MP-ID Absender,SG11,NAD,3055,9,,GS1,X,
29,MP-ID Absender,SG11,NAD,3055,293,,"DE, BDEW (Bundesverband",X,
30,Ansprechpartner,SG14,,,,,,Muss,
31,Ansprechpartner,SG14,,,,,,Muss,
32,Ansprechpartner,SG14,CTA,,,,,Muss,
33,Ansprechpartner,SG14,CTA,3139,,,,IC,
34,Ansprechpartner,SG14,CTA,3412,,,Kontakt,X [500],[500] Hinweis: Angabe eines technischen Ansprechpartners für die Geräteübernahme
35,Kommunikationsverbindung,SG14,,,,,,,
36,Kommunikationsverbindung,SG14,,,,,,Muss,
37,Kommunikationsverbindung,SG14,COM,,,,,Muss,
38,Kommunikationsverbindung,SG14,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
39,Kommunikationsverbindung,SG14,COM,3155,EM,,Elektronische Post,X [1P0..1],
40,Kommunikationsverbindung,SG14,COM,3155,FX,,Telefax,X [1P0..1],
41,Kommunikationsverbindung,SG14,COM,3155,TE,,Telefon,X [1P0..1],
42,Kommunikationsverbindung,SG14,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
43,Kommunikationsverbindung,SG14,COM,3155,AL,,Handy,X [1P0..1],
44,MP-ID Empfänger,SG11,,,,,,Muss,
45,MP-ID Empfänger,SG11,,,,,,Muss,
46,MP-ID Empfänger,SG11,NAD,,,,,Muss,
47,MP-ID Empfänger,SG11,NAD,3035,,,,MR,
48,MP-ID Empfänger,SG11,NAD,3039,,,MP-ID,X,
49,MP-ID Empfänger,SG11,NAD,3055,9,,GS1,X,
50,MP-ID Empfänger,SG11,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
51,MP-ID Empfänger,SG11,NAD,3055,332,,"DE, DVGW Service &Consult GmbH",X,
52,"Liefer-, bzw. Bezugsort",SG11,,,,,,Muss,
53,"Liefer-, bzw. Bezugsort",SG11,,,,,,Muss,
54,"Liefer-, bzw. Bezugsort",SG11,NAD,,,,,Muss,
55,"Liefer-, bzw. Bezugsort",SG11,NAD,3035,,,,DP,
56,Meldepunkt,SG11,,,,,,,
57,Meldepunkt,SG11,,,,,,Muss,
58,Meldepunkt,SG11,LOC,,,,,Muss,
59,Meldepunkt,SG11,LOC,3227,,,,172,
60,Meldepunkt,SG11,LOC,3225,,,Identifikator,X [951] [503],"[503] Hinweis: Verwendung der ID der Messlokation 
[951] Format: Zählpunktbezeichnung"
61,Positionsdaten,SG27,,,,,,Muss [2005],
62,Positionsdaten,SG27,,,,,,Muss [2005],[2005] Pro Nachricht ist die SG27 genau einmal anzugeben
63,Positionsdaten,SG27,LIN,,,,,Muss,
64,Positionsdaten,SG27,LIN,1082,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1
65,Abschnitts-Kontrollsegment,,,,,,,Muss,
66,Abschnitts-Kontrollsegment,,UNS,0081,und Summenteil,,,S,
67,Nachrichten-Endesegment,,,,,,,Muss,
68,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
69,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
