,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,,
2,Nachrichten-Kopfsegment,,UNH,0065,UTILTS,,Netznutzungszeiten-Nachricht,X,Netznutzungszeiten-Nachricht
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,18A,,Ausgabe 2018 - A,X,Ausgabe 2018 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.1b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z60,,ÜbersichtZählzeitdefinitionen,,ÜbersichtZählzeitdefinitionen
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,MP-ID Absender,SG2,,,,,,Muss,
15,MP-ID Absender,SG2,,,,,,Muss,
16,MP-ID Absender,SG2,NAD,,,,,Muss,
17,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
18,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X [1],
19,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
20,Ansprechpartner,SG3,,,,,,Kann,
21,Ansprechpartner,SG3,,,,,,Kann,
22,Ansprechpartner,SG3,CTA,,,,,Muss,
23,Ansprechpartner,SG3,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
24,Ansprechpartner,SG3,CTA,3412,,,Name vom Ansprechpartner,X,
25,Kommunikationsverbindung,SG3,,,,,,,
26,Kommunikationsverbindung,SG3,,,,,,Muss,
27,Kommunikationsverbindung,SG3,COM,,,,,Muss,
28,Kommunikationsverbindung,SG3,COM,3148,,,Nummer / Adresse,X,
29,Kommunikationsverbindung,SG3,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
30,MP-ID Empfänger,SG2,,,,,,Muss,
31,MP-ID Empfänger,SG2,,,,,,Muss,
32,MP-ID Empfänger,SG2,NAD,,,,,Muss,
33,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
34,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [1],
35,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
36,Vorgang,SG5,,,,,,Muss [2001],
37,Vorgang,SG5,,,,,,Muss [2001],
38,Vorgang,SG5,IDE,,,,,Muss,
39,Vorgang,SG5,IDE,7495,24,,Transaktion,X,Transaktion
40,Vorgang,SG5,IDE,7402,,,Vorgangsnummer,X,
41,Gültig ab,SG5,,,,,,,
42,Gültig ab,SG5,,,,,,Muss,
43,Gültig ab,SG5,DTM,,,,,Muss,
44,Gültig ab,SG5,DTM,2005,157,,"Gültigkeit, Beginndatum",X,"Gültigkeit, Beginndatum"
45,Gültig ab,SG5,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][508] ∧[UB1],
46,Gültig ab,SG5,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
47,Versionsangabe,SG5,,,,,,,
48,Versionsangabe,SG5,,,,,,Muss,
49,Versionsangabe,SG5,DTM,,,,,Muss,
50,Versionsangabe,SG5,DTM,2005,293,,Fertigstellungsdatum/-zeit,X,Fertigstellungsdatum/-zeit
51,Versionsangabe,SG5,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],
52,Versionsangabe,SG5,DTM,2379,304,,CCYYMMDDHHMMSSZZZ,X,CCYYMMDDHHMMSSZZZ
53,Status der Nutzung von Definitionen,SG5,,,,,,,
54,Status der Nutzung von Definitionen,SG5,,,,,,Muss [22],
55,Status der Nutzung von Definitionen,SG5,STS,,,,,Muss [22],
56,Status der Nutzung von Definitionen,SG5,STS,9015,Z36,,Nutzung vonDefinitionen,X,Nutzung vonDefinitionen
57,Status der Nutzung von Definitionen,SG5,STS,4405,Z45,,Definitionen werdenverwendet,X,Definitionen werdenverwendet
58,Prüfidentifikator,SG6,,,,,,Muss,
59,Prüfidentifikator,SG6,,,,,,Muss,
60,Prüfidentifikator,SG6,RFF,,,,,Muss,
61,Prüfidentifikator,SG6,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
62,Prüfidentifikator,SG6,RFF,1154,25004,,ÜbersichtZählzeitdefinitionen,,ÜbersichtZählzeitdefinitionen
63,Referenz auf Reklamation,SG6,,,,,,Soll [26],
64,Referenz auf Reklamation,SG6,,,,,,Soll [26],
65,Referenz auf Reklamation,SG6,RFF,,,,,Muss,
66,Referenz auf Reklamation,SG6,RFF,1153,AGI,,Beantragungsnummer,X,Beantragungsnummer
67,Referenz auf Reklamation,SG6,RFF,1154,,,"Referenz, Identifikation",X [504],
68,Zählzeitdefinition,SG8,,,,,,,
69,Zählzeitdefinition,SG8,,,,,,,
70,Zählzeitdefinition,SG8,SEQ,,,,,,
71,Zählzeitdefinition,SG8,SEQ,1229,Z42,,Zählzeitdefinition,,Zählzeitdefinition
72,Code der Zählzeitdefinition,SG9,,,,,,,
73,Code der Zählzeitdefinition,SG9,,,,,,,
74,Code der Zählzeitdefinition,SG9,CCI,,,,,,
75,Code der Zählzeitdefinition,SG9,CCI,7059,Z39,,Code derZählzeitdefinition,,Code derZählzeitdefinition
76,Code der Zählzeitdefinition,SG9,CCI,7037,,,Code der Zählzeitdefinition,,
77,Häufigkeit der Übermittlung,SG9,,,,,,,
78,Häufigkeit der Übermittlung,SG9,,,,,,,
79,Häufigkeit der Übermittlung,SG9,CAV,,,,,,
80,Häufigkeit der Übermittlung,SG9,CAV,7111,ZE0,,Häufigkeit derÜbermittlung,,Häufigkeit derÜbermittlung
81,Häufigkeit der Übermittlung,SG9,CAV,7110,Z33,,einmalig zuübermittelndeausgerollte Definition,,einmalig zuübermittelndeausgerollte Definition
82,Übermittelbarkeit der ausgerollten Zählzeitdefinition,SG9,,,,,,,
83,Übermittelbarkeit der ausgerollten Zählzeitdefinition,SG9,,,,,,,
84,Übermittelbarkeit der ausgerollten Zählzeitdefinition,SG9,CAV,,,,,,
85,Übermittelbarkeit der ausgerollten Zählzeitdefinition,SG9,CAV,7111,ZD5,,Übermittelbarkeit derausgerollten Definition,,Übermittelbarkeit derausgerollten Definition
86,Übermittelbarkeit der ausgerollten Zählzeitdefinition,SG9,CAV,7110,Z23,,elektronischübermittelbar,,elektronischübermittelbar
87,Ermittlung des Leistungsmaximums bei atypischer Netznutzung,SG9,,,,,,,
88,Ermittlung des Leistungsmaximums bei atypischer Netznutzung,SG9,,,,,,,
89,Ermittlung des Leistungsmaximums bei atypischer Netznutzung,SG9,CAV,,,,,,
90,Ermittlung des Leistungsmaximums bei atypischer Netznutzung,SG9,CAV,7111,ZD4,,Ermittlung desLeistungsmaximums beiatypischer Netznutzung,,Ermittlung desLeistungsmaximums beiatypischer Netznutzung
91,Ermittlung des Leistungsmaximums bei atypischer Netznutzung,SG9,CAV,7110,Z25,,Verwendung desHochlastzeitfensters,,Verwendung desHochlastzeitfensters
92,Bestellbarkeit der Zählzeitdefinition,SG9,,,,,,,
93,Bestellbarkeit der Zählzeitdefinition,SG9,,,,,,,
94,Bestellbarkeit der Zählzeitdefinition,SG9,CAV,,,,,,
95,Bestellbarkeit der Zählzeitdefinition,SG9,CAV,7111,ZD7,,Bestellbarkeit derZählzeitdefinition,,Bestellbarkeit derZählzeitdefinition
96,Bestellbarkeit der Zählzeitdefinition,SG9,CAV,7110,Z27,,Zählzeitdefinition istbestellbar,,Zählzeitdefinition istbestellbar
97,Zählzeitdefinitionstyp,SG9,,,,,,,
98,Zählzeitdefinitionstyp,SG9,,,,,,,
99,Zählzeitdefinitionstyp,SG9,CAV,,,,,,
100,Zählzeitdefinitionstyp,SG9,CAV,7111,ZD3,,Zählzeitdefinitionstyp,,Zählzeitdefinitionstyp
101,Zählzeitdefinitionstyp,SG9,CAV,7110,Z29,,Wärmepumpe,,Wärmepumpe
