,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,QUOTES,,Angebot,X,
4,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,10A,,Ausgabe 2010 - A,X,
6,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,1.3,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,,,,,Muss,
10,Beginn der Nachricht,,BGM,1001,Z29,,Abrechnung desMessstellenbetriebs vomMSB an den LF,X,
11,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
12,Nachrichtendatum,,,,,,,Muss,
13,Nachrichtendatum,,DTM,,,,,Muss,
14,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
15,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt. 
[931] Format: ZZZ = +00"
16,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
17,Ausführungsdatum,,,,,,,Muss [27],
18,Ausführungsdatum,,DTM,,,,,Muss [27],[27] Wenn DTM+469 nicht vorhanden
19,Ausführungsdatum,,DTM,2005,203,,Ausführungsdatum/-zeit,X,
20,Ausführungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
21,Ausführungsdatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
22,Beginn zum (nächstmöglichen Termin),,,,,,,Soll [26] ∧ [28] ∧ [29],
23,Beginn zum (nächstmöglichen Termin),,DTM,,,,,Soll [26] ∧ [28] ∧ [29],"[26] Wenn DTM+203 nicht vorhanden 
[28] Wenn RFF+AAV vorhanden 
[29] Wenn DTM+469 in Anfrage (REQOTE) vorhanden war"
24,Beginn zum (nächstmöglichen Termin),,DTM,2005,469,,"Startdatum oder -zeitpunkt, frühestes/r",X,
25,Beginn zum (nächstmöglichen Termin),,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
26,Beginn zum (nächstmöglichen Termin),,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
27,Produkt-/ Leistungsbeschreibung,,,,,,,Muss,
28,Produkt-/ Leistungsbeschreibung,,IMD,,,,,Muss,
29,Produkt-/ Leistungsbeschreibung,,IMD,7081,Z33,,Angebot auf BasisPreisblatt,X,
30,Produkt-/ Leistungsbeschreibung,,IMD,7081,Z34,,Individuelles Angebot,X,
31,Nachrichtennummer der Anfrage,SG1,,,,,,Soll [17],
32,Nachrichtennummer der Anfrage,SG1,,,,,,Soll [17],[17] Wenn das Angebot per REQOTE angefragt wurde
33,Nachrichtennummer der Anfrage,SG1,RFF,,,,,Muss,
34,Nachrichtennummer der Anfrage,SG1,RFF,1153,AAV,,Nummer der Anfrage,X,
35,Nachrichtennummer der Anfrage,SG1,RFF,1154,,,Nachrichtennummer,X [505],"[505] Hinweis: Wert aus BGM+Z29 DE1004 der REQOTE, mit der die Anfrage Rechnungsabwicklung erfolgt ist."
36,Prüfidentifikator,SG1,,,,,,Muss,
37,Prüfidentifikator,SG1,,,,,,Muss,
38,Prüfidentifikator,SG1,RFF,,,,,Muss,
39,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,
40,Prüfidentifikator,SG1,RFF,1154,15002,,AngebotRechnungsabwicklung MSBüber LF,X,
41,Währungsangaben,SG4,,,,,,Muss [21],
42,Währungsangaben,SG4,,,,,,Muss [21],[21] Wenn IMD++Z34 vorhanden
43,Währungsangaben,SG4,CUX,,,,,Muss,
44,Währungsangaben,SG4,CUX,6347,2,,Referenzwährung,X,
45,Währungsangaben,SG4,CUX,6345,EUR,,Euro,X,
46,Währungsangaben,SG4,CUX,6343,4,,Währung der Rechnung,X,
47,MP-ID Absender,SG11,,,,,,Muss,
48,MP-ID Absender,SG11,,,,,,Muss,
49,MP-ID Absender,SG11,NAD,,,,,Muss,
50,MP-ID Absender,SG11,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,
51,MP-ID Absender,SG11,NAD,3039,,,MP-ID,X [39],[39] MP-ID nur aus Sparte Strom
52,MP-ID Absender,SG11,NAD,3055,9,,GS1,X,
53,MP-ID Absender,SG11,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
54,Ansprechpartner,SG14,,,,,,Muss,
55,Ansprechpartner,SG14,,,,,,Muss,
56,Ansprechpartner,SG14,CTA,,,,,Muss,
57,Ansprechpartner,SG14,CTA,3139,,,,IC,
58,Ansprechpartner,SG14,CTA,3412,,,Kontakt,X,
59,Kommunikationsverbindung,SG14,,,,,,,
60,Kommunikationsverbindung,SG14,,,,,,Muss,
61,Kommunikationsverbindung,SG14,COM,,,,,Muss,
62,Kommunikationsverbindung,SG14,COM,3148,,,"Kommunikationsadresse,Identifikation",X,
63,Kommunikationsverbindung,SG14,COM,3155,EM,,Elektronische Post,X [1P0..1],
64,Kommunikationsverbindung,SG14,COM,3155,FX,,Telefax,X [1P0..1],
65,MP-ID Empfänger,SG11,,,,,,Muss,
66,MP-ID Empfänger,SG11,,,,,,Muss,
67,MP-ID Empfänger,SG11,NAD,,,,,Muss,
68,MP-ID Empfänger,SG11,NAD,3035,,,,MR,
69,MP-ID Empfänger,SG11,NAD,3039,,,MP-ID,X [39],[39] MP-ID nur aus Sparte Strom
70,MP-ID Empfänger,SG11,NAD,3055,9,,GS1,X,
71,MP-ID Empfänger,SG11,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
72,"Liefer-, bzw. Bezugsort",SG11,,,,,,Muss,
73,"Liefer-, bzw. Bezugsort",SG11,,,,,,Muss,
74,"Liefer-, bzw. Bezugsort",SG11,NAD,,,,,Muss,
75,"Liefer-, bzw. Bezugsort",SG11,NAD,3035,,,,DP,
76,Meldepunkt,SG11,,,,,,,
77,Meldepunkt,SG11,,,,,,Muss,
78,Meldepunkt,SG11,LOC,,,,,Muss,
79,Meldepunkt,SG11,LOC,3227,,,,172,
80,Meldepunkt,SG11,LOC,3225,,,Identifikator,X [950] [501],"[501] Hinweis: Verwendung der ID der Marktlokation 
[950] Format: Marktlokations-ID"
81,Positionsdaten,SG27,,,,,,Muss,
82,Positionsdaten,SG27,,,,,,Muss,
83,Positionsdaten,SG27,LIN,,,,,Muss,
84,Positionsdaten,SG27,LIN,1082,,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
85,Positionsdaten,SG27,LIN,7140,,,Produkt-/Leistungsnummer,X ([31] ∧ ([65] ⊻ [66])) ⊻([942] [69] ∧ ([67] ⊻ [68])),"[31] Es sind nur die Artikelnummern erlaubt, die in der Codeliste der Artikelnummern des BDEW mit dem entsprechenden Prüfidentifikator versehen sind. 
[65] Wenn DTM+203 (Ausführungsdatum) im DE2380 < 202312312300?+00 
[66] Wenn DTM+469 (Beginn zum (nächstmöglichen Termin)) im DE2380 < 202312312300?+00 
[67] Wenn DTM+203 (Ausführungsdatum) im DE2380 ≥ 202312312300?+00 
[68] Wenn DTM+469 (Beginn zum (nächstmöglichen Termin)) im DE2380 ≥ 202312312300?+00 
[69] Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die im Kapitel 3.5"
86,Positionsdaten,SG27,LIN,7143,Z01,,Artikelnummer,X [65] ⊻ [66],
87,Positionsdaten,SG27,LIN,7143,Z09,,Artikel-ID,X [67] ⊻ [68],"[65] Wenn DTM+203 (Ausführungsdatum) im DE2380 < 202312312300?+00 
[66] Wenn DTM+469 (Beginn zum (nächstmöglichen Termin)) im DE2380 < 202312312300?+00 
[67] Wenn DTM+203 (Ausführungsdatum) im DE2380 ≥ 202312312300?+00 
[68] Wenn DTM+469 (Beginn zum (nächstmöglichen Termin)) im DE2380 ≥ 202312312300?+00"
88,Zusätzliche Produktidentifikation,SG27,,,,,,,
