,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,REMADV,,Zahlungsavis,X,
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,05A,,Ausgabe 2005 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,2.9c,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,239,,Abgelehnte Forderung(Nicht-Zahlungsavis),X,
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Dokumentendatum,,,,,,,Muss,
11,Dokumentendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
12,Dokumentendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
13,Dokumentendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
14,Prüfidentifikator,,,,,,,Muss,
15,Prüfidentifikator,,RFF,1153,Z13,,Prüfidentifikator,X,
16,Prüfidentifikator,,RFF,1154,33003,,Abweisung Kopf undSumme,,
17,Prüfidentifikator,,RFF,1154,33004,,Abweisung Position,X,
18,MP-ID Absender,SG1,,,,,,Muss,
19,MP-ID Absender,SG1,,,,,,Muss,
20,MP-ID Absender,SG1,NAD,,,,,Muss,
21,MP-ID Absender,SG1,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
22,MP-ID Absender,SG1,NAD,3039,,,MP-ID,X [45],[45] Nur MP-ID aus Sparte Strom
23,MP-ID Absender,SG1,NAD,3055,9,,GS1,X,
24,MP-ID Absender,SG1,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
25,Ansprechpartner,SG3,,,,,,Kann [503],
26,Ansprechpartner,SG3,,,,,,Kann [503],"[503] Hinweis: Empfohlen, um bei Abweisung Ansprechpartner für Rückfragen zu erreichen."
27,Ansprechpartner,SG3,CTA,,,,,Muss,
28,Ansprechpartner,SG3,CTA,3139,IC,,Informationsstelle,X,
29,Ansprechpartner,SG3,CTA,3412,,,Abteilung oder Bearbeiter,X,
30,Kommunikationsverbindung,SG3,,,,,,,
31,Kommunikationsverbindung,SG3,,,,,,Muss,
32,Kommunikationsverbindung,SG3,COM,,,,,Muss,
33,Kommunikationsverbindung,SG3,COM,3148,,,"Kommunikationsadresse,Identifikation",X (([939][89]) ∨([940][90])) ∧[549],"[89] wenn im DE3155 in demselben COM der Code EM vorhanden ist 
[90] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist 
[549] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden 
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten 
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen"
34,Kommunikationsverbindung,SG3,COM,3155,EM,,E-Mail,X [1P0..1],
35,Kommunikationsverbindung,SG3,COM,3155,FX,,Telefax,X [1P0..1],
36,Kommunikationsverbindung,SG3,COM,3155,TE,,Telefon,X [1P0..1],
37,Kommunikationsverbindung,SG3,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
38,Kommunikationsverbindung,SG3,COM,3155,AL,,Handy,X [1P0..1],
39,MP-ID Empfänger,SG1,,,,,,Muss,
40,MP-ID Empfänger,SG1,,,,,,Muss,
41,MP-ID Empfänger,SG1,NAD,,,,,Muss,
42,MP-ID Empfänger,SG1,NAD,3035,MR,,Nachrichtenempfänger,X,
43,MP-ID Empfänger,SG1,NAD,3039,,,MP-ID,X [45],[45] Nur MP-ID aus Sparte Strom
44,MP-ID Empfänger,SG1,NAD,3055,9,,GS1,X,
45,MP-ID Empfänger,SG1,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
46,Währungsangaben,SG4,,,,,,Muss,
47,Währungsangaben,SG4,,,,,,Muss,
48,Währungsangaben,SG4,CUX,,,,,Muss,
49,Währungsangaben,SG4,CUX,6347,2,,Referenzwährung,X,
50,Währungsangaben,SG4,CUX,6345,EUR,,Euro,X,
51,Währungsangaben,SG4,CUX,6343,11,,Zahlungswährung,X,
52,Dokument-/Nachrichten- Einzelheiten,SG5,,,,,,Muss,
53,Dokument-/Nachrichten- Einzelheiten,SG5,,,,,,Muss,
54,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,,,,,Muss,
55,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1001,380,,Handelsrechnung,X,
56,Dokument-/Nachrichten- Einzelheiten,SG5,DOC,1004,,,Dokumentennummer,X [511],[511] Hinweis: BGM DE1004 aus der abgelehnten INVOIC- Nachricht
57,Geforderter Rechnungsbetrag,SG5,,,,,,,
58,Geforderter Rechnungsbetrag,SG5,,,,,,Muss,
59,Geforderter Rechnungsbetrag,SG5,MOA,,,,,Muss,
60,Geforderter Rechnungsbetrag,SG5,MOA,5025,9,,Fälliger Betrag (inkl. USt.),X,
61,Geforderter Rechnungsbetrag,SG5,MOA,5004,,,Geldbetrag,X [930] [501],"[501] Hinweis: An dieser Stelle ist der Betrag aus SG50 MOA+9 der zugrundeliegenden INVOIC zu übernehmen. 
[930] Format: max. 2 Nachkommastellen"
62,Überweisungsbetrag,SG5,,,,,,,
63,Überweisungsbetrag,SG5,,,,,,Muss,
64,Überweisungsbetrag,SG5,MOA,,,,,Muss,
65,Überweisungsbetrag,SG5,MOA,5025,12,,Überweisungsbetrag,X,
66,Überweisungsbetrag,SG5,MOA,5004,,,Geldbetrag,X [926],[926] Format: Möglicher Wert: 0 
67,Rechnungsdatum,SG5,,,,,,,
68,Rechnungsdatum,SG5,,,,,,Muss,
69,Rechnungsdatum,SG5,DTM,,,,,Muss,
70,Rechnungsdatum,SG5,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
71,Rechnungsdatum,SG5,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
72,Rechnungsdatum,SG5,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
73,Referenz auf COMDIS,SG5,,,,,,,
74,Referenz auf COMDIS,SG5,,,,,,Muss [42] ⊻ [96],
75,Referenz auf COMDIS,SG5,RFF,,,,,Muss [42] ⊻ [96],"[42] Wenn in SG7 AJT DE1082 = E_0407  
[96] Wenn SG7 AJT DE1082 = E_0568"
76,Referenz auf COMDIS,SG5,RFF,1153,ACW,,Referenznummer einervorangegangenenNachricht,X,
77,Referenz auf COMDIS,SG5,RFF,1154,,,"Referenz, Identifikation",X [512],[512] Hinweis: BGM DE1004 aus der abgelehnten COMDIS-Nachricht
78,Abweichungsgrund,SG7,,,,,,,
79,Abweichungsgrund,SG7,,,,,,,"[517] Hinweis: Wenn in dieser SG5 in AJT DE4465 ein Code aus Cluster Ablehnung auf Summenebene verwendet wird, ist diese SG7 so oft zu wiederholen, bis alle Fehler der Summenebene genannt sind. 
[518] Hinweis: Wenn in dieser SG5 in AJT DE4465 ein Code aus Cluster Ablehnung auf Kopfebene verwendet wird, der von A80 abweicht, ist diese SG7 genau einmal zu nutzen. 
[519] Hinweis: Diese SG7 ist so oft mit AJT DE4465 = A74 zu wiederholen, bis alle Rechnungsnummern im RFF- Segment dieser SG7 genannt sind, die in der INVOIC fehlen, die in diesem SG5 DOC DE1004 genannt ist 
[520] Hinweis: Diese SG7 ist so oft mit AJT DE4465 = A75 zu wiederholen, bis alle Rechnungsnummern der Rechnungen genannt sind, die mindestens eine Abschlagsrechnung enthalten, die in der INVOIC abgerechnet wurden, die in diesem SG5 DOC DE1004 genannt ist. 
[521] Hinweis: Diese SG7 ist so oft mit AJT DE4465 = A76 zu wiederholen, bis alle Rechnungsnummern der Abschlagsrechnungen genannt sind, die in der INVOIC, die in diesem SG5 DOC DE1004 genannt ist, nicht hätten berücksichtigt werden dürfen. 
[535] Hinweis: Diese SG7 ist so oft mit AJT DE4465 = A80 zu wiederholen, bis die Rechnungsnummern der nicht stornierten Sonderrechnungen mit derselben Sonderrechnungsart wie sie in Sonderrechnung genannt ist die in diesem SG5 DOC DE1004 genannt ist, und sich auf dieselbe Rechnung beziehen, die die in diesem"
80,Abweichungsgrund,SG7,AJT,,,,,,
81,Abweichungsgrund,SG7,AJT,4465,,,Code des Prüfschritts,,"[11] Wenn in diesem AJT DE1082 = E_0406 
[12] Wenn in diesem AJT DE1082 = E_0407 
[14] A-Code aus Cluster Ablehnung auf Kopfebene 
[16] A-Code aus Cluster Ablehnung auf Summenebene 
[47] Wenn in diesem AJT DE1082 = E_0210 
[48] Wenn in diesem AJT DE1082 = E_0259 
[75] Wenn in diesem AJT DE1082 = E_0264 
[76] Wenn in diesem AJT DE1082 = E_0266 
[77] Wenn in diesem AJT DE1082 = E_0515 
[78] Wenn in diesem AJT DE1082 = E_0517 
[79] Wenn in diesem AJT DE1082 = E_0519 
[80] Wenn in diesem AJT DE1082 = E_0521 
[91] Wenn in dieser SG7 AJT DE1082 = E_0566 
[92] Wenn in dieser SG7 AJT DE1082 = E_0568"
82,Abweichungsgrund,SG7,AJT,1082,E_0210,,EBD Nr. E_0210,,
83,Abweichungsgrund,SG7,AJT,1082,E_0259,,EBD Nr. E_0259,,
84,Abweichungsgrund,SG7,AJT,1082,E_0264,,EBD Nr. E_0264,,
85,Abweichungsgrund,SG7,AJT,1082,E_0266,,EBD Nr. E_0266,,
86,Abweichungsgrund,SG7,AJT,1082,E_0406,,EBD Nr. E_0406,,
87,Abweichungsgrund,SG7,AJT,1082,E_0407,,EBD Nr. E_0407,,
88,Abweichungsgrund,SG7,AJT,1082,E_0515,,EBD Nr. E_0515,,
89,Abweichungsgrund,SG7,AJT,1082,E_0517,,EBD Nr. E_0517,,
90,Abweichungsgrund,SG7,AJT,1082,E_0519,,EBD Nr. E_0519,,
91,Abweichungsgrund,SG7,AJT,1082,E_0521,,EBD Nr. E_0521,,
92,Abweichungsgrund,SG7,AJT,1082,E_0566,,EBD Nr. E_0566,,
93,Abweichungsgrund,SG7,AJT,1082,E_0568,,EBD Nr. E_0568,,
94,Zugehörige Rechnung,SG7,,,,,,,
95,Zugehörige Rechnung,SG7,,,,,,,
96,Zugehörige Rechnung,SG7,RFF,,,,,,"[11] Wenn in diesem AJT DE1082 = E_0406 
[12] Wenn in diesem AJT DE1082 = E_0407 
[36] Wenn in dieser SG7 AJT DE4465 = A12/A75/A80/AE1"
97,Zugehörige Rechnung,SG7,RFF,1153,AFL,,Zugehörige Rechnungen,,
98,Zugehörige Rechnung,SG7,RFF,1154,,,"Referenz, Identifikation",,[536] Hinweis: Dieses DE darf keine Abschlagsrechnungsnummer enthalten 
99,Nähere Erläuterung des Abweichungsgrundes,SG7,,,,,,,
100,Nähere Erläuterung des Abweichungsgrundes,SG7,,,,,,,
