,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,UNH,,00001,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,00001,Bestelländerung,,ORDCH G,X,
3,Nachrichten-Kopfsegment,,UNH,0052,00001,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,00001,20B,,Ausgabe 2020 - B,X,
5,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,00001,1.1,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,BGM,,00002,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,00002,Z57,,Übermittlung von Werten an ESA,X,
9,Beginn der Nachricht,,BGM,1004,00002,,,Dokumentennummer,X,
10,Beginn der Nachricht,,BGM,1225,00002,,,,1,
11,Nachrichtendatum,,DTM,,00003,,,,Muss,
12,Nachrichtendatum,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
13,Nachrichtendatum,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt. 
[931] Format: ZZZ = +00"
14,Nachrichtendatum,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,
15,Nachrichtennummer der Anfrage/Bestellung,SG1,,,,,,,Muss,
16,Nachrichtennummer der Anfrage/Bestellung,SG1,RFF,,00004,,,,Muss,
17,Nachrichtennummer der Anfrage/Bestellung,SG1,RFF,1153,00004,ON,,Auftragsnummer (Einkauf),X,
18,Nachrichtennummer der Anfrage/Bestellung,SG1,RFF,1154,00004,,,Nachrichtennummer,X [500],[500] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS
19,Prüfidentifikator,SG1,,,,,,,Muss,
20,Prüfidentifikator,SG1,RFF,,00006,,,,Muss,
21,Prüfidentifikator,SG1,RFF,1153,00006,Z13,,Prüfidentifikator,X,
22,Prüfidentifikator,SG1,RFF,1154,00006,39002,,Stornierung der Bestellung für ESA,X,
23,MP-ID Absender,SG3,,,,,,,Muss,
24,MP-ID Absender,SG3,NAD,,00007,,,,Muss,
25,MP-ID Absender,SG3,NAD,3035,00007,Nachrichtenaussteller bzw.,,,MS,
26,MP-ID Absender,SG3,NAD,3039,00007,,,MP-ID,X [1],[1] MP-ID nur aus Sparte Strom
27,MP-ID Absender,SG3,NAD,3055,00007,9,,GS1,X,
28,MP-ID Absender,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
29,Ansprechpartner,SG6,,,,,,,Kann,
30,Ansprechpartner,SG6,CTA,,00008,,,,Muss,
31,Ansprechpartner,SG6,CTA,3139,00008,,,,IC,
32,Ansprechpartner,SG6,CTA,3412,00008,,,Kontakt,X,
33,Kommunikationsverbindung,SG6,COM,,00009,,,,Muss,
34,Kommunikationsverbindung,SG6,COM,3148,00009,,,"Kommunikationsadresse, Identifikation",X (([939] [4]) ∨ ([940] [5])) ∧ [503],"[4] wenn im DE3155 in demselben COM der Code EM vorhanden ist 
[5] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist 
[503] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden 
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten 
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen"
35,Kommunikationsverbindung,SG6,COM,3155,00009,EM,,Elektronische Post,X [1P0..1],
36,Kommunikationsverbindung,SG6,COM,3155,,FX,,Telefax,X [1P0..1],
37,Kommunikationsverbindung,SG6,COM,3155,,TE,,Telefon,X [1P0..1],
38,Kommunikationsverbindung,SG6,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
39,Kommunikationsverbindung,SG6,COM,3155,,AL,,Handy,X [1P0..1],
40,MP-ID Empfänger,SG3,,,,,,,Muss,
41,MP-ID Empfänger,SG3,NAD,,00010,,,,Muss,
42,MP-ID Empfänger,SG3,NAD,3035,00010,,,,MR,
43,MP-ID Empfänger,SG3,NAD,3039,00010,,,MP-ID,X [1],[1] MP-ID nur aus Sparte Strom
44,MP-ID Empfänger,SG3,NAD,3055,00010,9,,GS1,X,
45,MP-ID Empfänger,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
46,Abschnitts-Kontrollsegment,,UNS,,00011,,,,Muss,
47,Abschnitts-Kontrollsegment,,UNS,0081,00011,und Summenteil,,,S,
48,Nachrichten-Endesegment,,UNT,,00012,,,,Muss,
49,Nachrichten-Endesegment,,UNT,0074,00012,,,Anzahl der Segmente in einer Nachricht,X,
50,Nachrichten-Endesegment,,UNT,0062,00012,,,Nachrichten-Referenznummer,X,
