#,Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Änderung,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt
2,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0062,00001,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,,PRICAT,Preisliste/Katalog,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0065,00001,PRICAT,Preisliste/Katalog,X,
4,Nachrichten-Kopfsegment,,UNH,0052,,D,Entwurfs-Version,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0052,00001,D,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,,20B,Ausgabe 2020 - B,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0054,00001,20B,Ausgabe 2020 - B,X,
6,Nachrichten-Kopfsegment,,UNH,0051,,UN,UN/CEFACT,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,,2.0c,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0057,00001,2.0c,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,x,
8,Beginn der Nachricht,,BGM,,,,,Muss,,ÄNDERUNG,Beginn der Nachricht,,BGM,,00002,,,Muss,
9,,,,,,,,,,NEU,Beginn der Nachricht,,BGM,1001,00002,Z54,Preisblatt Sperren / Entsperren und Verzugskosten,X,
10,Beginn der Nachricht,,BGM,1001,,Z54,Preisblatt Sperren / Entsperren und Verzugskosten,X,,ÄNDERUNG,Beginn der Nachricht,,BGM,1001,,Z64,Preisblatt Netznutzung ohne gemeindespezifische Konzessionsabgaben,X [492],
11,Beginn der Nachricht,,BGM,1001,,Z64,Preisblatt Netznutzung ohne gemeindespezifische Konzessionsabgaben,X [492],,ÄNDERUNG,Beginn der Nachricht,,BGM,1001,,Z67,Preisblatt Blindarbeit,X [492],
12,Beginn der Nachricht,,BGM,1001,,Z67,Preisblatt Blindarbeit,X [492],,ÄNDERUNG,Beginn der Nachricht,,BGM,1001,,Z70,Preisblatt Netznutzung: Gemeindespezifische Konzessionsabgaben,X [492],[492] wenn MP-ID in NAD+MR aus Sparte Strom 
13,Beginn der Nachricht,,BGM,1001,,Z70,Preisblatt Netznutzung: Gemeindespezifische Konzessionsabgaben,X [492],[492] wenn MP-ID in NAD+MR aus Sparte Strom ,ÄNDERUNG,Beginn der Nachricht,,BGM,1004,00002,,Dokumentennummer,X,
14,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,,ÄNDERUNG,Beginn der Nachricht,,BGM,1373,00002,,,11,[8] Wenn das in DE1001 angegebene Preisblatt vom NB nicht genutzt wird.
15,Beginn der Nachricht,,BGM,1373,,,,11,[8] Wenn das in DE1001 angegebene Preisblatt vom NB nicht genutzt wird.,ENTFÄLLT,,,,,,,,,
16,Nachrichtendatum,,DTM,,,,,Muss,,ÄNDERUNG,Nachrichtendatum,,DTM,,00004,,,Muss,
17,Nachrichtendatum,,DTM,2005,,137,Dokumenten-/ Nachrichtendatum/-zeit,X,,ÄNDERUNG,Nachrichtendatum,,DTM,2005,00004,137,Dokumenten-/ Nachrichtendatum/-zeit,X,
