Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Nachrichten-Kopfsegment,,UNH,,,,,,Muss,,0,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Kopfsegment,,UNH,,00003,,,,Muss,,0
Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Kopfsegment,,UNH,0062,00003,,,Nachrichten-Referenznummer,X,,1
Nachrichten-Kopfsegment,,UNH,0065,,UTILMD,,Netzanschluss- Stammdaten,X,,2,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Kopfsegment,,UNH,0065,00003,UTILMD,,Netzanschluss- Stammdaten,X,,2
Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Kopfsegment,,UNH,0052,00003,D,,Entwurfs-Version,X,,3
Nachrichten-Kopfsegment,,UNH,0054,,11A,,Ausgabe 2011 - A,X,,4,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Kopfsegment,,UNH,0054,00003,11A,,Ausgabe 2011 - A,X,,4
Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Kopfsegment,,UNH,0051,00003,UN,,UN/CEFACT,X,,5
Nachrichten-Kopfsegment,,UNH,0057,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,,S1.1,X,,6,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404|Beschreibung_FV2310|Beschreibung_FV2404,Nachrichten-Kopfsegment,,UNH,0057,00003,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,,S1.1a,X,,6
Beginn der Nachricht,,BGM,,,,,,Muss,,7,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Beginn der Nachricht,,BGM,,00004,,,,Muss,,7
Beginn der Nachricht,,BGM,1001,,Z05,,Clearingliste,X,,8,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Beginn der Nachricht,,BGM,1001,00004,Z05,,Clearingliste,X,,8
Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Beginn der Nachricht,,BGM,1004,00004,,,Dokumentennummer,X,,9
Nachrichtendatum,,DTM,,,,,,Muss,,10,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichtendatum,,DTM,,00005,,,,Muss,,10
Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,11,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichtendatum,,DTM,2005,00005,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,11
Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",12,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichtendatum,,DTM,2380,00005,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",12
Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,13,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichtendatum,,DTM,2379,00005,303,,CCYYMMDDHHMMZZZ,X,,13
"Gültigkeit, Beginndatum",,DTM,,,,,,Muss [502],[502] Hinweis: Es wird der Betrachtungsmonat der DZR bzw. BAS angegeben,14,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,"Gültigkeit, Beginndatum",,DTM,,00006,,,,Muss [502],[502] Hinweis: Es wird der Betrachtungsmonat der DZR bzw. BAS angegeben,14
"Gültigkeit, Beginndatum",,DTM,2005,,157,,"Gültigkeit, Beginndatum",X,,15,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,"Gültigkeit, Beginndatum",,DTM,2005,00006,157,,"Gültigkeit, Beginndatum",X,,15
"Gültigkeit, Beginndatum",,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X,,16,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,"Gültigkeit, Beginndatum",,DTM,2380,00006,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X,,16
"Gültigkeit, Beginndatum",,DTM,2379,,610,,CCYYMM,X,,17,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,"Gültigkeit, Beginndatum",,DTM,2379,00006,610,,CCYYMM,X,,17
Referenz auf eine vorangegangene Anfrage,SG1,,,,,,,Muss,,18,,,Referenz auf eine vorangegangene Anfrage,SG1,,,,,,,Muss,,18
Referenz auf eine vorangegangene Anfrage,SG1,RFF,,,,,,Muss,,19,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf eine vorangegangene Anfrage,SG1,RFF,,00007,,,,Muss,,19
Referenz auf eine vorangegangene Anfrage,SG1,RFF,1153,,AAV,,Nummer der Anfrage,X,,20,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf eine vorangegangene Anfrage,SG1,RFF,1153,00007,AAV,,Nummer der Anfrage,X,,20
Referenz auf eine vorangegangene Anfrage,SG1,RFF,1154,,,,"Referenz, Identifikation",X [503],[503] Hinweis: Angabe des BGM DE1004 aus der ORDERS,21,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf eine vorangegangene Anfrage,SG1,RFF,1154,00007,,,"Referenz, Identifikation",X [503],[503] Hinweis: Angabe des BGM DE1004 aus der ORDERS,21
MP-ID Absender,SG2,,,,,,,Muss,,22,,,MP-ID Absender,SG2,,,,,,,Muss,,22
MP-ID Absender,SG2,NAD,,,,,,Muss,,23,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Absender,SG2,NAD,,00008,,,,Muss,,23
MP-ID Absender,SG2,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,24,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Absender,SG2,NAD,3035,00008,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,24
MP-ID Absender,SG2,NAD,3039,,,,MP-ID,X,,25,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Absender,SG2,NAD,3039,00008,,,MP-ID,X,,25
MP-ID Absender,SG2,NAD,3055,,9,,GS1,X,,26,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Absender,SG2,NAD,3055,00008,9,,GS1,X,,26
MP-ID Absender,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,27,,,MP-ID Absender,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,27
Ansprechpartner,SG3,,,,,,,Kann,,28,,,Ansprechpartner,SG3,,,,,,,Kann,,28
Ansprechpartner,SG3,CTA,,,,,,Muss,,29,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Ansprechpartner,SG3,CTA,,00009,,,,Muss,,29
Ansprechpartner,SG3,CTA,3139,,IC,,Informationskontakt,X,,30,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Ansprechpartner,SG3,CTA,3139,00009,IC,,Informationskontakt,X,,30
Ansprechpartner,SG3,CTA,3412,,,,Name vom Ansprechpartner,X,,31,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Ansprechpartner,SG3,CTA,3412,00009,,,Name vom Ansprechpartner,X,,31
Kommunikationsverbindung,SG3,COM,,,,,,Muss,,32,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Kommunikationsverbindung,SG3,COM,,00010,,,,Muss,,32
Kommunikationsverbindung,SG3,COM,3148,,,,Nummer / Adresse,X,,33,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404|Bedingungsausdruck_FV2310|Bedingungsausdruck_FV2404|Bedingung_FV2310|Bedingung_FV2404,Kommunikationsverbindung,SG3,COM,3148,00010,,,Nummer / Adresse,X (([939] [321]) ∨ ([940] [322])) ∧ [514],"[321] Wenn im DE3155 in demselben COM der Code EM vorhanden ist
[322] Wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[514] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",33
Kommunikationsverbindung,SG3,COM,3155,,EM,,Elektronische Post,X [1P0..1],,34,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Kommunikationsverbindung,SG3,COM,3155,00010,EM,,Elektronische Post,X [1P0..1],,34
Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],,35,,,Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],,35
Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],,36,,,Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],,36
Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,37,,,Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,37
Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],,38,,,Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],,38
MP-ID Empfänger,SG2,,,,,,,Muss,,39,,,MP-ID Empfänger,SG2,,,,,,,Muss,,39
MP-ID Empfänger,SG2,NAD,,,,,,Muss,,40,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,,00011,,,,Muss,,40
MP-ID Empfänger,SG2,NAD,3035,,MR,,Nachrichtenempfänger,X,,41,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,3035,00011,MR,,Nachrichtenempfänger,X,,41
MP-ID Empfänger,SG2,NAD,3039,,,,MP-ID,X [280],[280] Nur MP-ID aus Sparte Strom,42,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,3039,00011,,,MP-ID,X [280],[280] Nur MP-ID aus Sparte Strom,42
MP-ID Empfänger,SG2,NAD,3055,,9,,GS1,X,,43,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,3055,00011,9,,GS1,X,,43
MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,44,,,MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,44
Identifikation einer Liste,SG4,,,,,,,Muss,,45,,,Identifikation einer Liste,SG4,,,,,,,Muss,,45
Identifikation einer Liste,SG4,IDE,,,,,,Muss,,46,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Identifikation einer Liste,SG4,IDE,,00012,,,,Muss,,46
Identifikation einer Liste,SG4,IDE,7495,,Z01,,Liste,X,,47,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Identifikation einer Liste,SG4,IDE,7495,00012,Z01,,Liste,X,,47
Identifikation einer Liste,SG4,IDE,7402,,,,Listennummer,X,,48,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Identifikation einer Liste,SG4,IDE,7402,00012,,,Listennummer,X,,48
MaBiS-Zählpunkt,SG5,,,,,,,Muss,,49,,,MaBiS-Zählpunkt,SG5,,,,,,,Muss,,49
MaBiS-Zählpunkt,SG5,LOC,,,,,,Muss,,50,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MaBiS-Zählpunkt,SG5,LOC,,00014,,,,Muss,,50
MaBiS-Zählpunkt,SG5,LOC,3227,,Z15,,MaBiS-Zählpunkt,X,,51,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MaBiS-Zählpunkt,SG5,LOC,3227,00014,Z15,,MaBiS-Zählpunkt,X,,51
MaBiS-Zählpunkt,SG5,LOC,3225,,,,Identifikator,X [951],[951] Format: Zählpunktbezeichnung,52,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MaBiS-Zählpunkt,SG5,LOC,3225,00014,,,Identifikator,X [951],[951] Format: Zählpunktbezeichnung,52
Prüfidentifikator,SG6,,,,,,,Muss,,53,,,Prüfidentifikator,SG6,,,,,,,Muss,,53
Prüfidentifikator,SG6,RFF,,,,,,Muss,,54,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Prüfidentifikator,SG6,RFF,,00015,,,,Muss,,54
Prüfidentifikator,SG6,RFF,1153,,Z13,,Prüfidentifikator,X,,55,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Prüfidentifikator,SG6,RFF,1153,00015,Z13,,Prüfidentifikator,X,,55
Prüfidentifikator,SG6,RFF,1154,,55070,,MaBiS / Clearingliste BAS,X,,56,,,Prüfidentifikator,SG6,RFF,1154,,55070,,MaBiS / Clearingliste BAS,X,,56
Daten der Summenzeitreihe,SG8,,,,,,,Muss,,57,,,Daten der Summenzeitreihe,SG8,,,,,,,Muss,,57
Daten der Summenzeitreihe,SG8,SEQ,,,,,,Muss,,58,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Daten der Summenzeitreihe,SG8,SEQ,,00017,,,,Muss,,58
Daten der Summenzeitreihe,SG8,SEQ,1229,,Z22,,Daten der Summenzeitreihe,X,,59,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Daten der Summenzeitreihe,SG8,SEQ,1229,00017,Z22,,Daten der Summenzeitreihe,X,,59
Versionsangabe der Summenzeitreihe,SG8,RFF,,,,,,Muss,,60,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe der Summenzeitreihe,SG8,RFF,,00018,,,,Muss,,60
Versionsangabe der Summenzeitreihe,SG8,RFF,1153,,AUU,,Referenz auf eine Zeitreihe,X,,61,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe der Summenzeitreihe,SG8,RFF,1153,00018,AUU,,Referenz auf eine Zeitreihe,X,,61
Versionsangabe der Summenzeitreihe,SG8,RFF,1154,,,,Version der Zeitreihe,X,,62,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe der Summenzeitreihe,SG8,RFF,1154,00018,,,Version der Zeitreihe,X,,62
Vorgang,SG4,,,,,,,Muss,"[2288] Einmal für jede Zeitreihe, die in der DZR berücksichtigt wurde",63,,,Vorgang,SG4,,,,,,,Muss,"[2288] Einmal für jede Zeitreihe, die in der DZR berücksichtigt wurde",63
Vorgang,SG4,IDE,,,,,,Muss [505],[505] Hinweis: Je zugeordneter ID und je EEG- Überführungszeitreihe ein Vorgang erforderlich,64,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Vorgang,SG4,IDE,,00020,,,,Muss [505],[505] Hinweis: Je zugeordneter ID und je EEG- Überführungszeitreihe ein Vorgang erforderlich,64
Vorgang,SG4,IDE,7495,,24,,Transaktion,X,,65,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Vorgang,SG4,IDE,7495,00020,24,,Transaktion,X,,65
Vorgang,SG4,IDE,7402,,,,Vorgangsnummer,X,,66,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Vorgang,SG4,IDE,7402,00020,,,Vorgangsnummer,X,,66
MaBiS-Zählpunkt,SG5,,,,,,,Soll [2075],[2075] Für die ID der Zeitreihen (nicht bei EEG-EUZ und EUZ der AAÜZ) in der Clearingliste einmal je SG4 IDE+24 (Vorgang),67,,,MaBiS-Zählpunkt,SG5,,,,,,,Soll [2075],[2075] Für die ID der Zeitreihen (nicht bei EEG-EUZ und EUZ der AAÜZ) in der Clearingliste einmal je SG4 IDE+24 (Vorgang),67
MaBiS-Zählpunkt,SG5,LOC,,,,,,Muss,,68,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MaBiS-Zählpunkt,SG5,LOC,,00056,,,,Muss,,68
MaBiS-Zählpunkt,SG5,LOC,3227,,Z15,,MaBiS-Zählpunkt,X,,69,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MaBiS-Zählpunkt,SG5,LOC,3227,00056,Z15,,MaBiS-Zählpunkt,X,,69
MaBiS-Zählpunkt,SG5,LOC,3225,,,,Identifikator,X [951],[951] Format: Zählpunktbezeichnung,70,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MaBiS-Zählpunkt,SG5,LOC,3225,00056,,,Identifikator,X [951],[951] Format: Zählpunktbezeichnung,70
Daten der Summenzeitreihe,SG8,,,,,,,Muss [375],"[375] Für die ID im SG5 LOC+Z15 (MaBiS-Zählpunkt) DE3225, wenn SG8+Z24 (Daten der Überführungszeitreihe) nicht vorhanden
[2095] Je SG5 LOC+Z15 (MaBiS-Zählpunkt) ist genau einmal die Segmentgruppe anzugeben",71,,,Daten der Summenzeitreihe,SG8,,,,,,,Muss [375],"[375] Für die ID im SG5 LOC+Z15 (MaBiS-Zählpunkt) DE3225, wenn SG8+Z24 (Daten der Überführungszeitreihe) nicht vorhanden
[2095] Je SG5 LOC+Z15 (MaBiS-Zählpunkt) ist genau einmal die Segmentgruppe anzugeben",71
Daten der Summenzeitreihe,SG8,SEQ,,,,,,Muss,,72,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Daten der Summenzeitreihe,SG8,SEQ,,00422,,,,Muss,,72
Daten der Summenzeitreihe,SG8,SEQ,1229,,Z22,,Daten der Summenzeitreihe,X,,73,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Daten der Summenzeitreihe,SG8,SEQ,1229,00422,Z22,,Daten der Summenzeitreihe,X,,73
Referenz auf die ID der Summenzeitreihe,SG8,RFF,,,,,,Muss,,74,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf die ID der Summenzeitreihe,SG8,RFF,,00423,,,,Muss,,74
Referenz auf die ID der Summenzeitreihe,SG8,RFF,1153,,AVE,,Meldepunkt,X,,75,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf die ID der Summenzeitreihe,SG8,RFF,1153,00423,AVE,,Meldepunkt,X,,75
Referenz auf die ID der Summenzeitreihe,SG8,RFF,1154,,,,ID der Summenzeitreihe,X [951],[951] Format: Zählpunktbezeichnung,76,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf die ID der Summenzeitreihe,SG8,RFF,1154,00423,,,ID der Summenzeitreihe,X [951],[951] Format: Zählpunktbezeichnung,76
Versionsangabe der Summenzeitreihe,SG8,RFF,,,,,,Muss,,77,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe der Summenzeitreihe,SG8,RFF,,00424,,,,Muss,,77
Versionsangabe der Summenzeitreihe,SG8,RFF,1153,,AUU,,Referenz auf eine Zeitreihe,X,,78,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe der Summenzeitreihe,SG8,RFF,1153,00424,AUU,,Referenz auf eine Zeitreihe,X,,78
Versionsangabe der Summenzeitreihe,SG8,RFF,1154,,,,Version der Zeitreihe,X,,79,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe der Summenzeitreihe,SG8,RFF,1154,00424,,,Version der Zeitreihe,X,,79
Zeitreihentyp,SG10,,,,,,,Muss,,80,,,Zeitreihentyp,SG10,,,,,,,Muss,,80
Zeitreihentyp,SG10,CCI,,,,,,Muss,,81,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Zeitreihentyp,SG10,CCI,,00431,,,,Muss,,81
Zeitreihentyp,SG10,CCI,7059,,15,,Struktur,X,,82,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Zeitreihentyp,SG10,CCI,7059,00431,15,,Struktur,X,,82
Zeitreihentyp,SG10,CCI,7037,,Z21,,Summenzeitreihentyp,X,,83,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Zeitreihentyp,SG10,CCI,7037,00431,Z21,,Summenzeitreihentyp,X,,83
Zeitreihentyp,SG10,CAV,,,,,,Muss,,84,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Zeitreihentyp,SG10,CAV,,00432,,,,Muss,,84
