Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404,Änderung,changed_entries,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Qualifier_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Unnamed: 0_FV2410
Nachrichten-Kopfsegment,,UNH,,,,,,Muss,,0,,,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,,0
Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1,,,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1
Nachrichten-Kopfsegment,,UNH,0065,,COMDIS,,Handelsunstimmigkeit,X,,2,,,Nachrichten-Kopfsegment,,UNH,0065,,COMDIS,,Handelsunstimmigkeit,X,,2
Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3,,,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3
Nachrichten-Kopfsegment,,UNH,0054,,17A,,Ausgabe 2017 - A,X,,4,,,Nachrichten-Kopfsegment,,UNH,0054,,17A,,Ausgabe 2017 - A,X,,4
Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5,,,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5
Nachrichten-Kopfsegment,,UNH,0057,,1.0d,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,6,,,Nachrichten-Kopfsegment,,UNH,0057,,1.0d,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,6
Beginn der Nachricht,,BGM,,,,,,Muss,,7,,,Beginn der Nachricht,,BGM,,,,,,Muss,,7
Beginn der Nachricht,,BGM,1001,,456,,Belastungsanzeige,X,,8,,,Beginn der Nachricht,,BGM,1001,,456,,Belastungsanzeige,X,,8
Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9,,,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9
Prüfidentifikator,,RFF,,,,,,Muss,,10,,,Prüfidentifikator,,RFF,,,,,,Muss,,10
Prüfidentifikator,,RFF,1153,,Z13,,Prüfidentifikator,X,,11,,,Prüfidentifikator,,RFF,1153,,Z13,,Prüfidentifikator,X,,11
Prüfidentifikator,,RFF,1154,,29001,,Ablehnung REMADV,X,,12,,,Prüfidentifikator,,RFF,1154,,29001,,Ablehnung REMADV,X,,12
Dokumentendatum,,DTM,,,,,,Muss,,13,,,Dokumentendatum,,DTM,,,,,,Muss,,13
Dokumentendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,14,,,Dokumentendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,14
Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,15,,,Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,15
Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,16,,,Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,16
Währungsangaben,,CUX,,,,,,Muss,,17,,,Währungsangaben,,CUX,,,,,,Muss,,17
Währungsangaben,,CUX,6347,,2,,Referenzwährung,X,,18,,,Währungsangaben,,CUX,6347,,2,,Referenzwährung,X,,18
Währungsangaben,,CUX,6345,,EUR,,Euro,X,,19,,,Währungsangaben,,CUX,6345,,EUR,,Euro,X,,19
Währungsangaben,,CUX,6343,,4,,Währung der Rechnung,X,,20,,,Währungsangaben,,CUX,6343,,4,,Währung der Rechnung,X,,20
MP-ID Absender,SG1,,,,,,,Muss,,21,,,MP-ID Absender,SG1,,,,,,,Muss,,21
MP-ID Absender,SG1,NAD,,,,,,Muss,,22,,,MP-ID Absender,SG1,NAD,,,,,,Muss,,22
MP-ID Absender,SG1,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,23,,,MP-ID Absender,SG1,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,23
MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom,24,,,MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom,24
MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,,25,,,MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,,25
MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,26,,,MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,26
MP-ID Absender,SG1,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,,27,,,MP-ID Absender,SG1,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,,27
Ansprechpartner,SG1,CTA,,,,,,Muss,,28,,,Ansprechpartner,SG1,CTA,,,,,,Muss,,28
Ansprechpartner,SG1,CTA,3139,,IC,,Informationsstelle,X,,29,,,Ansprechpartner,SG1,CTA,3139,,IC,,Informationsstelle,X,,29
Ansprechpartner,SG1,CTA,3412,,,,Abteilung oder Bearbeiter,X,,30,,,Ansprechpartner,SG1,CTA,3412,,,,Abteilung oder Bearbeiter,X,,30
Kommunikationsverbindung,SG1,COM,,,,,,Muss,,31,,,Kommunikationsverbindung,SG1,COM,,,,,,Muss,,31
Kommunikationsverbindung,SG1,COM,3148,,,,"Kommunikationsadresse, Identifikation",X (([939][21]) ∨ ([940][22])) ∧ [508],"[21] wenn im DE3155 in demselben COM der Code EM vorhanden ist
[22] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[508] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",32,,,Kommunikationsverbindung,SG1,COM,3148,,,,"Kommunikationsadresse, Identifikation",X (([939][21]) ∨ ([940][22])) ∧ [508],"[21] wenn im DE3155 in demselben COM der Code EM vorhanden ist
[22] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[508] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",32
