#,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Änderung,Segmentname_FV2504,Segmentgruppe_FV2504,Segment_FV2504,Datenelement_FV2504,Segment ID_FV2504,Code_FV2504,Beschreibung_FV2504,Bedingungsausdruck_FV2504,Bedingung_FV2504
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0062,00001,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,,COMDIS,Handelsunstimmigkeit,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0065,00001,COMDIS,Handelsunstimmigkeit,X,
4,Nachrichten-Kopfsegment,,UNH,0052,,D,Entwurfs-Version,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0052,00001,D,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,,17A,Ausgabe 2017 - A,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0054,00001,17A,Ausgabe 2017 - A,X,
6,Nachrichten-Kopfsegment,,UNH,0051,,UN,UN/CEFACT,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,,1.0d,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0057,00001,1.0e,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,BGM,,,,,Muss,,ÄNDERUNG,Beginn der Nachricht,,BGM,,00002,,,Muss,
9,Beginn der Nachricht,,BGM,1001,,456,Belastungsanzeige,X,,ÄNDERUNG,Beginn der Nachricht,,BGM,1001,00002,456,Belastungsanzeige,X,
10,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,,ÄNDERUNG,Beginn der Nachricht,,BGM,1004,00002,,Dokumentennummer,X,
11,Prüfidentifikator,,RFF,,,,,Muss,,ÄNDERUNG,Prüfidentifikator,,RFF,,00003,,,Muss,
12,Prüfidentifikator,,RFF,1153,,Z13,Prüfidentifikator,X,,ÄNDERUNG,Prüfidentifikator,,RFF,1153,00003,Z13,Prüfidentifikator,X,
13,Prüfidentifikator,,RFF,1154,,29001,Ablehnung REMADV,X,,ÄNDERUNG,Prüfidentifikator,,RFF,1154,00003,29001,Ablehnung REMADV,X,
14,Dokumentendatum,,DTM,,,,,Muss,,ÄNDERUNG,Dokumentendatum,,DTM,,00004,,,Muss,
15,Dokumentendatum,,DTM,2005,,137,Dokumenten-/ Nachrichtendatum/-zeit,X,,ÄNDERUNG,Dokumentendatum,,DTM,2005,00004,137,Dokumenten-/ Nachrichtendatum/-zeit,X,
16,Dokumentendatum,,DTM,2380,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,ÄNDERUNG,Dokumentendatum,,DTM,2380,00004,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00
17,Dokumentendatum,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,,ÄNDERUNG,Dokumentendatum,,DTM,2379,00004,303,CCYYMMDDHHMMZZZ,X,
18,Währungsangaben,,CUX,,,,,Muss,,ÄNDERUNG,Währungsangaben,,CUX,,00005,,,Muss,
19,Währungsangaben,,CUX,6347,,2,Referenzwährung,X,,ÄNDERUNG,Währungsangaben,,CUX,6347,00005,2,Referenzwährung,X,
20,Währungsangaben,,CUX,6345,,EUR,Euro,X,,ÄNDERUNG,Währungsangaben,,CUX,6345,00005,EUR,Euro,X,
21,Währungsangaben,,CUX,6343,,4,Währung der Rechnung,X,,ÄNDERUNG,Währungsangaben,,CUX,6343,00005,4,Währung der Rechnung,X,
22,MP-ID Absender,SG1,,,,,,Muss,,,MP-ID Absender,SG1,,,,,,Muss,
23,MP-ID Absender,SG1,NAD,,,,,Muss,,ÄNDERUNG,MP-ID Absender,SG1,NAD,,00006,,,Muss,
24,MP-ID Absender,SG1,NAD,3035,,MS,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,,MP-ID Absender,SG1,NAD,3035,,MS,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,
25,MP-ID Absender,SG1,NAD,3039,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom,ÄNDERUNG,MP-ID Absender,SG1,NAD,3039,00006,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom
26,,,,,,,,,,NEU,MP-ID Absender,SG1,NAD,3055,00006,9,GS1,X,
27,MP-ID Absender,SG1,NAD,3055,,9,GS1,X,,ÄNDERUNG,MP-ID Absender,SG1,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
28,MP-ID Absender,SG1,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,ÄNDERUNG,MP-ID Absender,SG1,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
29,MP-ID Absender,SG1,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,,ENTFÄLLT,,,,,,,,,
30,Ansprechpartner,SG1,CTA,,,,,Muss,,ÄNDERUNG,Ansprechpartner,SG1,CTA,,00007,,,Muss,
