#,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Änderung,Segmentname_FV2504,Segmentgruppe_FV2504,Segment_FV2504,Datenelement_FV2504,Segment ID_FV2504,Code_FV2504,Beschreibung_FV2504,Bedingungsausdruck_FV2504,Bedingung_FV2504
1,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt,,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt
2,Nachrichten-Kopfsegment,,UNH,0062,00001,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,,UNH,0062,00001,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,00001,PRICAT,Preisliste/Katalog,X,,,Nachrichten-Kopfsegment,,UNH,0065,00001,PRICAT,Preisliste/Katalog,X,
4,Nachrichten-Kopfsegment,,UNH,0052,00001,D,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,,UNH,0052,00001,D,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,00001,20B,Ausgabe 2020 - B,X,,,Nachrichten-Kopfsegment,,UNH,0054,00001,20B,Ausgabe 2020 - B,X,
6,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,UN/CEFACT,X,,,Nachrichten-Kopfsegment,,UNH,0051,00001,UN,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,00001,2.0c,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,x,,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,0057,00001,2.0d,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,x,
8,Beginn der Nachricht,,BGM,,00002,,,Muss,,,Beginn der Nachricht,,BGM,,00002,,,Muss,
9,Beginn der Nachricht,,BGM,1001,00002,Z54,Preisblatt Sperren / Entsperren und Verzugskosten,X,,,Beginn der Nachricht,,BGM,1001,00002,Z54,Preisblatt Sperren / Entsperren und Verzugskosten,X,
10,Beginn der Nachricht,,BGM,1001,,Z64,Preisblatt Netznutzung ohne gemeindespezifische Konzessionsabgaben,X [492],,,Beginn der Nachricht,,BGM,1001,,Z64,Preisblatt Netznutzung ohne gemeindespezifische Konzessionsabgaben,X [492],
11,Beginn der Nachricht,,BGM,1001,,Z67,Preisblatt Blindarbeit,X [492],,,Beginn der Nachricht,,BGM,1001,,Z67,Preisblatt Blindarbeit,X [492],
12,Beginn der Nachricht,,BGM,1001,,Z70,Preisblatt Netznutzung: Gemeindespezifische Konzessionsabgaben,X [492],[492] wenn MP-ID in NAD+MR aus Sparte Strom ,,Beginn der Nachricht,,BGM,1001,,Z70,Preisblatt Netznutzung: Gemeindespezifische Konzessionsabgaben,X [492],[492] wenn MP-ID in NAD+MR aus Sparte Strom 
13,Beginn der Nachricht,,BGM,1004,00002,,Dokumentennummer,X,,,Beginn der Nachricht,,BGM,1004,00002,,Dokumentennummer,X,
14,Beginn der Nachricht,,BGM,1373,00002,,,11,[8] Wenn das in DE1001 angegebene Preisblatt vom NB nicht genutzt wird.,,Beginn der Nachricht,,BGM,1373,00002,,,11,[8] Wenn das in DE1001 angegebene Preisblatt vom NB nicht genutzt wird.
15,Nachrichtendatum,,DTM,,00004,,,Muss,,,Nachrichtendatum,,DTM,,00004,,,Muss,
16,Nachrichtendatum,,DTM,2005,00004,137,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,,DTM,2005,00004,137,Dokumenten-/ Nachrichtendatum/-zeit,X,
17,Nachrichtendatum,,DTM,2380,00004,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",,Nachrichtendatum,,DTM,2380,00004,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00"
18,Nachrichtendatum,,DTM,2379,00004,303,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,,DTM,2379,00004,303,CCYYMMDDHHMMZZZ,X,
19,Gültigkeitsbeginn,,DTM,,00005,,,Muss,,,Gültigkeitsbeginn,,DTM,,00005,,,Muss,
20,Gültigkeitsbeginn,,DTM,2005,00005,157,"Gültigkeit, Beginndatum",X,,,Gültigkeitsbeginn,,DTM,2005,00005,157,"Gültigkeit, Beginndatum",X,
